variable,table,configuration,preference,comment
tos,Amon,*,[ifs],
tos,Omon,*,[nemo],
tos,Oday,*,[nemo],
tos,3hr,*,[nemo],
pfull,AERmon,*,[tm5],
pfull,Amon,*,[ifs],
pfull,CFday,*,[ifs],
pfull,CF3hr,*,[ifs],
pfull,6hrLev,*,[ifs],
zg,AERmon,*,[tm5],
zg,AERmonZ,*,[tm5],
zg,Amon,*,[ifs],
zg,EdayZ,*,[ifs],
zg,Eday,*,[ifs],
zg,day,*,[ifs],
zg,CFday,*,[ifs],
ps,CFday,*,[ifs],
ps,Emon,*,[ifs],
ps,3hr,*,[ifs],
ps,6hrLev,*,[ifs],
ps,AERmon,EC-EARTH3-CC,[tm5],
ps,AERhr,*,[tm5 ifs],
tas,AERhr,*,[tm5 ifs],
tas,Amon,*,[ifs],
tas,3hr,*,[ifs],
tas,day,*,[ifs],
tas,ImonAnt,*,[ifs],
tas,ImonGre,*,[ifs],
ua,AERmon,*,[tm5 ifs],
ua,Amon,*,[ifs],
ua,6hrPlevPt,*,[ifs],
ua,Eday,*,[ifs],
ua,EdayZ,*,[ifs],
ua,Emon,*,[ifs],
ua,6hrLev,*,[ifs],
ua,CFday,*,[ifs],
va,AERmon,*,[tm5 ifs],
va,Amon,*,[ifs],
va,6hrPlevPt,*,[ifs],
va,Eday,*,[ifs],
va,EdayZ,*,[ifs],
va,Emon,*,[ifs],
va,6hrLev,*,[ifs],
va,CFday,*,[ifs],
cfc12,*,EC-Earth-CC,[nemo],
cfc13,*,EC-Earth-CC,[nemo],
sf6,*,EC-Earth-CC,[nemo],
c14,*,EC-Earth-CC,[nemo],
