Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,Precipitation,kg m-2 s-1,includes both liquid and solid phases,at surface; includes both liquid and solid phases.  This is the 3-hour mean precipitation flux.,pr,precipitation_flux,time: mean,,real,longitude latitude time,pr,atmos,3hr,area: areacella,3hr ((isd.003)),,14,bab3c904-e5dd-11e5-8482-ac72891c3257,62f26742cf240c1b5169a5cd511196b6,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CMIP,DAMIP,GeoMIP,HighResMIP,LS3MIP,VIACSAB","AerChemMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP",,x,1 (WP10/11),PRECT,x,x,x,x,LIMITED,UM:1,lo-la-ti__pr,m01s05i216,
1,Near-Surface Air Temperature,K,"near-surface (usually, 2 meter) air temperature",This is sampled synoptically.,tas,air_temperature,time: point,,real,longitude latitude time1,tas,atmos,3hr,area: areacella,3hr ((isd.003)),,15,bab91b20-e5dd-11e5-8482-ac72891c3257,5c4978e802ba55d5a298cf1b3bdc2b3a,f7e8b996-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:height2m} [tpt]","CMIP,DAMIP,HighResMIP,VIACSAB","AerChemMIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GMMIP,GeoMIP,HighResMIP,PMIP,ScenarioMIP",,x,1 (WP10/11),TREFHT,x,x,x,x,LIMITED,UM:1,lo-la-ti-h__tas,m01s03i236,
1,Surface Upward Latent Heat Flux,W m-2,,This is the 3-hour mean flux.,hfls,surface_upward_latent_heat_flux,time: mean,up,real,longitude latitude time,hfls,atmos,3hr,area: areacella,3hr ((isd.003)),,16,baaefbcc-e5dd-11e5-8482-ac72891c3257,95cbf6ac889c8fe7d92e20e8c34960d1,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CMIP,HighResMIP,VIACSAB","AerChemMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP",,x,1,False,x,x,x,x,LIMITED,UM:1,lo-la-ti__hfls,m01s03i234,
1,Surface Upward Sensible Heat Flux,W m-2,,This is the 3-hour mean flux.,hfss,surface_upward_sensible_heat_flux,time: mean,up,real,longitude latitude time,hfss,atmos,3hr,area: areacella,3hr ((isd.003)),,17,baaf8452-e5dd-11e5-8482-ac72891c3257,a13ed886b17e20cdae8b89b9ff8e4610,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CMIP,HighResMIP,VIACSAB","AerChemMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP",,x,1,False,x,x,x,x,LIMITED,UM:1,lo-la-ti__hfss,m01s03i217,
1,Surface Downwelling Longwave Radiation,W m-2,,This is the 3-hour mean flux.,rlds,surface_downwelling_longwave_flux_in_air,time: mean,down,real,longitude latitude time,rlds,atmos,3hr,area: areacella,3hr ((isd.003)),,18,bab52b5a-e5dd-11e5-8482-ac72891c3257,70d7d6fc0e9c2f14624a0270bf2b99b9,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CMIP,HighResMIP,LS3MIP,VIACSAB","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,HighResMIP,PMIP,ScenarioMIP",,x,1,False,x,x,x,x,LIMITED,UM:1,lo-la-ti__rlds,m01s02i207,
1,Surface Upwelling Longwave Radiation,W m-2,,This is the 3-hour mean flux.,rlus,surface_upwelling_longwave_flux_in_air,time: mean,up,real,longitude latitude time,rlus,atmos,3hr,area: areacella,3hr ((isd.003)),,19,bab59202-e5dd-11e5-8482-ac72891c3257,89027ee0079acb709750ddeac1c08899,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CMIP,HighResMIP,VIACSAB","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,HighResMIP,PMIP,ScenarioMIP",,x,1,False,x,x,x,x,LIMITED,UM:1,lo-la-ti__rlus,"m01s02i201,m01s02i207",
1,Surface Downwelling Shortwave Radiation,W m-2,surface solar irradiance for UV calculations,This is the 3-hour mean flux.,rsds,surface_downwelling_shortwave_flux_in_air,time: mean,down,real,longitude latitude time,rsds,atmos,3hr,area: areacella,3hr ((isd.003)),,20,bab5df78-e5dd-11e5-8482-ac72891c3257,6e7b9f984d3bba15daccaaa18039a85d,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CMIP,DAMIP,HighResMIP,LS3MIP,VIACSAB","AerChemMIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GMMIP,GeoMIP,HighResMIP,PMIP,ScenarioMIP",,x,1 (WP10/11),False,x,x,x,x,LIMITED,UM:1,lo-la-ti__rsds,m01s01i235,
1,Surface Upwelling Shortwave Radiation,W m-2,,This is the 3-hour mean flux.,rsus,surface_upwelling_shortwave_flux_in_air,time: mean,up,real,longitude latitude time,rsus,atmos,3hr,area: areacella,3hr ((isd.003)),,21,bab65138-e5dd-11e5-8482-ac72891c3257,70bf79db957daa3b82413da949233ac7,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CMIP,HighResMIP,VIACSAB","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,HighResMIP,PMIP,ScenarioMIP",,x,1,False,x,x,x,x,LIMITED,UM:1,lo-la-ti__rsus,"m01s01i201,m01s01i235",
1,Eastward Near-Surface Wind Speed,m s-1,"Eastward component of the near-surface (usually, 10 meters)  wind",This is sampled synoptically.,uas,eastward_wind,time: point,,real,longitude latitude time1,uas,atmos,3hr,area: areacella,3hr ((isd.003)),,22,babb5db8-e5dd-11e5-8482-ac72891c3257,e72b243a2a1c8691ab0168d8b62534c2,f7dfb7b0-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:height10m} [tpt]","CMIP,HighResMIP,VIACSAB","AerChemMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP",,x,1 (WP10/11),False,x,x,x,x,LIMITED,UM:1,lo-la-ti-h__uas,m01s03i225,
1,Northward Near-Surface Wind Speed,m s-1,Northward component of the near surface wind,This is sampled synoptically.,vas,northward_wind,time: point,,real,longitude latitude time1,vas,atmos,3hr,area: areacella,3hr ((isd.003)),,23,babbdec8-e5dd-11e5-8482-ac72891c3257,86b1cd51f370e346ecb20f1e80cb6ea4,f7dfb7b0-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:height10m} [tpt]","CMIP,HighResMIP,VIACSAB","AerChemMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP",,x,1 (WP10/11),False,x,x,x,x,LIMITED,UM:1,lo-la-ti-h__vas,m01s03i226,
1,Near-Surface Specific Humidity,1.0,"Near-surface (usually, 2 meter) specific humidity.",This is sampled synoptically.,huss,specific_humidity,time: point,,real,longitude latitude time1,huss,atmos,3hr,area: areacella,3hr ((isd.003)),,24,bab034a6-e5dd-11e5-8482-ac72891c3257,ebfefc2ab8716ef597b128171b275945,f7e8b996-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:height2m} [tpt]","CMIP,DAMIP,HighResMIP,VIACSAB","AerChemMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP",,x,1 (WP10/11),False,x,x,x,x,LIMITED,UM:1,lo-la-ti-h__huss,m01s03i237,
1,Moisture in Upper Portion of Soil Column,kg m-2,The mass of water in all phases in the upper 10cm of the  soil layer.,the mass of water in all phases in a thin surface soil layer.,mrsos,moisture_content_of_soil_layer,area: mean where land time: point,,real,longitude latitude time1,mrsos,land,3hr,area: areacella,3hr ((isd.003)),,25,bab1c668-e5dd-11e5-8482-ac72891c3257,40c091a01dc9db6d6d5901528c375ab3,f7e54ec8-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:sdepth1} [amnla-tpt]","CMIP,HighResMIP,VIACSAB","AerChemMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,ScenarioMIP",,False,1,False,x,x,x,x,False,UM:1,lo-la-ti-sd_a:m-land_mrsos,m01s08i223,
1,Surface Temperature Where Land or Sea Ice,K,"""skin"" temperature of all surfaces except open ocean.","""skin"" temperature of all surfaces except open ocean, sampled synoptically.",tslsi,surface_temperature,time: point,,real,longitude latitude time1,tslsi,land,3hr,area: areacella,3hr ((isd.003)),,26,babb12ae-e5dd-11e5-8482-ac72891c3257,2a92e434b37059d90e72b193bdbcce0f,f7e14828-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [tpt]","CMIP,HighResMIP,VIACSAB","AerChemMIP,CMIP6,DECK,HighResMIP",,x,1,False,x,x,x,x,LIMITED,UM:1,lo-la-ti__tslsi,m01s00i024,
1,Sea Surface Temperature,K,"temperature of surface of open ocean, sampled synoptically.","temperature of surface of open ocean, sampled synoptically.",tso,sea_surface_temperature,area: mean where sea time: point,,real,longitude latitude time1,tso,ocean,3hr,area: areacella,3hr ((isd.003)),,27,babb20b4-e5dd-11e5-8482-ac72891c3257,a7adfe95f91ab2379bd368936ae82edf,19a4555e-81b1-11e6-92de-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [fixed]","CMIP,HighResMIP,VIACSAB","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,HighResMIP,PMIP,ScenarioMIP",,x,CHANGED: 1,False,x,x,x,x,LIMITED,UM:1,lo-la-ti_a:m-sea_tso,,
1,Convective Precipitation,kg m-2 s-1,Convective precipitation at surface; includes both liquid and solid phases.,at surface.  This is a 3-hour mean convective precipitation flux.,prc,convective_precipitation_flux,time: mean,,real,longitude latitude time,prc,atmos,3hr,area: areacella,3hr ((isd.003)),,28,bab40c20-e5dd-11e5-8482-ac72891c3257,aa2bea81f238ad8f2c35a7e16ad97801,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CMIP,GeoMIP,HighResMIP,VIACSAB","AerChemMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP",,x,1,False,x,x,x,x,LIMITED,UM:1,lo-la-ti__prc,"m01s05i205,m01s05i206",
1,Snowfall Flux,kg m-2 s-1,at surface; includes precipitation of all forms of water in the solid phase,at surface.  Includes precipitation of all forms water in the solid phase.  This is the 3-hour mean snowfall flux.,prsn,snowfall_flux,time: mean,,real,longitude latitude time,prsn,atmos,3hr,area: areacella,3hr ((isd.003)),,29,bab42912-e5dd-11e5-8482-ac72891c3257,051919eddec810e292c883205c944ceb,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CMIP,HighResMIP,LS3MIP,VIACSAB","AerChemMIP,CMIP6,DAMIP,DECK,HighResMIP,PMIP,ScenarioMIP",,x,1,False,x,x,x,x,LIMITED,UM:1,lo-la-ti__prsn,m01s05i215,
1,Total Runoff,kg m-2 s-1,The total run-off (including drainage through the base of the soil model) per unit area leaving the land portion of the grid cell.,"the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell divided by the land area in the grid cell, averaged over the 3-hour interval.",mrro,runoff_flux,area: mean where land time: mean,,real,longitude latitude time,mrro,land,3hr,area: areacella,3hr ((isd.003)),,30,bab177b2-e5dd-11e5-8482-ac72891c3257,e0a0f457ec117b27ca8353b11bf9d4fa,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","CMIP,HighResMIP,VIACSAB","AerChemMIP,CMIP6,DAMIP,DECK,HighResMIP,PMIP,ScenarioMIP",,x,1,False,x,x,x,x,LIMITED,UM:1,lo-la-ti_a:m-land_mrro,"m01s08i234,m01s08i235",
