Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
3,Cloud Ice Mixing Ratio,1.0,Cloud ice mixing ratio,,cldicemxrat,cloud_ice_mixing_ratio,time: point,,,longitude latitude plev27 time1,cldicemxrat27,atmos,6hr,area: areacella,HighResMIP [6hrPlev_intense],,18,71470c42-faa7-11e6-bfb7-ac72891c3257,5913a2fe-9e49-11e5-803c-0d0b866b59f3,f7ea8046-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (27 pressure levels) [XY-P27] [tpt]",HighResMIP,"CMIP6,DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-p-ti__cldicemxrat27,,
3,Cloud Water Mixing Ratio,1.0,Cloud water mixing ratio,,cldwatmxrat,cloud_liquid_water_mixing_ratio,time: point,,,longitude latitude plev27 time1,cldwatmxrat27,atmos,6hr,area: areacella,HighResMIP [6hrPlev_intense],,19,7133f8dc-faa7-11e6-bfb7-ac72891c3257,59151288-9e49-11e5-803c-0d0b866b59f3,f7ea8046-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (27 pressure levels) [XY-P27] [tpt]",HighResMIP,"CMIP6,DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-p-ti__cldwatmxrat27,,
3,Convective Cloud Optical Depth,1.0,This is the in-cloud optical depth obtained by considering only the cloudy portion of the grid cell,Convective cloud optical depth,dtauc,atmosphere_optical_thickness_due_to_convective_cloud,time: point,,real,longitude latitude time1,dtauc,atmos,6hr,area: areacella,HighResMIP [6hrPlev_intense],,34,8bb09104-4a5b-11e6-9cd2-ac72891c3257,7c0c62d0dc4787a601a1bc1c4e3f7597,f7e14828-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [tpt]",HighResMIP,"CMIP6,DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,recheck,lo-la-ti__dtauc,m01s02i377,
3,Stratiform Cloud Optical Depth,1.0,This is the in-cloud optical depth obtained by considering only the cloudy portion of the grid cell.,Stratiform cloud optical depth,dtaus,atmosphere_optical_thickness_due_to_stratiform_cloud,time: point,,real,longitude latitude time1,dtaus,atmos,6hr,area: areacella,HighResMIP [6hrPlev_intense],,33,8bb08c22-4a5b-11e6-9cd2-ac72891c3257,ffa75c4442ad340cb0cdeb11aa19f044,f7e14828-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [tpt]",HighResMIP,"CMIP6,DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,recheck,lo-la-ti__dtaus,m01s02i375,
3,Graupel Mixing Ratio,1.0,Graupel mixing ratio,,grplmxrat,mass_fraction_of_graupel_in_air,time: point,,,longitude latitude plev27 time1,grplmxrat27,atmos,6hr,area: areacella,HighResMIP [6hrPlev_intense],,22,7147acec-faa7-11e6-bfb7-ac72891c3257,590f21d4-9e49-11e5-803c-0d0b866b59f3,f7ea8046-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (27 pressure levels) [XY-P27] [tpt]",HighResMIP,"CMIP6,DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-p-ti__grplmxrat27,,
3,Specific Humidity,1.0,,,hus,specific_humidity,time: point,,,longitude latitude plev27 time1,hus27,atmos,6hr,area: areacella,HighResMIP [6hrPlev_intense],,17,710e4f06-faa7-11e6-bfb7-ac72891c3257,53f4724d228998d54191c73352532ce3,f7ea8046-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (27 pressure levels) [XY-P27] [tpt]",HighResMIP,"CMIP6,DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-p-ti__hus27,"m01s30i205,m01s30i301",
3,Near-Surface Specific Humidity,1.0,"Near-surface (usually, 2 meter) specific humidity.",,huss,specific_humidity,time: point,,real,longitude latitude time1,huss,atmos,6hr,area: areacella,HighResMIP [6hrPlev_intense],,23,8bb05914-4a5b-11e6-9cd2-ac72891c3257,ebfefc2ab8716ef597b128171b275945,f7e14828-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [tpt]",HighResMIP,"CMIP6,DECK,HighResMIP",,x,CHANGED: -2 (WP10/11 => in 3hr),False,x,x,x,x,False,False,lo-la-ti__huss,m01s03i237,
3,Water Content of Soil Layer,kg m-2,"The mass of water in all phases, including ice, in soil layers.  Report as missing for grid cells with no land.",,mrlsl,moisture_content_of_soil_layer,time: point,,real,longitude latitude time1,mrlsl,land,6hr,area: areacella,HighResMIP [6hrPlev_intense],,31,8bb08236-4a5b-11e6-9cd2-ac72891c3257,9f9b6ac3b6a206d024fb2a340dc338d5,f7e14828-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [tpt]",HighResMIP,"CMIP6,DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-ti__mrlsl,m01s08i223,
3,Moisture in Upper Portion of Soil Column,kg m-2,The mass of water in all phases in the upper 10cm of the  soil layer.,,mrsos,moisture_content_of_soil_layer,time: point,,real,longitude latitude time1,mrsos,land,6hr,area: areacella,HighResMIP [6hrPlev_intense],,29,8bb07868-4a5b-11e6-9cd2-ac72891c3257,40c091a01dc9db6d6d5901528c375ab3,f7e14828-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [tpt]",HighResMIP,"CMIP6,DECK,HighResMIP",,False,CHANGED: -2,False,x,x,x,x,False,False,lo-la-ti__mrsos,,
3,Pressure on Model Levels,Pa,Air pressure on model levels,,pfull,air_pressure,time: point,,,longitude latitude plev27 time1,pfull27,atmos,6hr,area: areacella,HighResMIP [6hrPlev_intense],,15,71396380-faa7-11e6-bfb7-ac72891c3257,7a107875bd58c5e655e8f87152a3bad7,f7ea8046-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (27 pressure levels) [XY-P27] [tpt]",HighResMIP,"CMIP6,DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-p-ti__pfull27,Structure not defined,
