Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,Near-Surface Air Temperature,K,"near-surface (usually, 2 meter) air temperature",,tas,air_temperature,time: mean,,real,longitude latitude time,tas,atmos,mon,area: areacella,Amon ((isd.003)),Amon_2d,14,bab9237c-e5dd-11e5-8482-ac72891c3257,5c4978e802ba55d5a298cf1b3bdc2b3a,f7e1ef26-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:height2m} [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,DynVar,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,SolarMIP,VolMIP",,x,1,TREFHT,x,x,x,x,x,UM:1,lo-la-ti-h__tas,m01s03i236,
1,Surface Temperature,K,Temperature of the lower boundary of the atmosphere,"""skin"" temperature (i.e., SST for open ocean)",ts,surface_temperature,time: mean,,real,longitude latitude time,ts,atmos,mon,area: areacella,Amon ((isd.003)),Amon_2d,15,babaef0e-e5dd-11e5-8482-ac72891c3257,90c49fce92dc1f21647dad07d1342843,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,x,1,TS,x,x,x,x,x,UM:1,lo-la-ti__ts,m01s00i024,
1,Daily Minimum Near-Surface Air Temperature,K,"minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: min"")",monthly mean of the daily-minimum near-surface air temperature.,tasmin,air_temperature,time: minimum within days time: mean over days,,real,longitude latitude time,tasmin,atmos,mon,area: areacella,Amon ((isd.003)),Amon_2d,16,bab955ea-e5dd-11e5-8482-ac72891c3257,cce3dd39c138bf3c4d713263cc2e6cff,f7e03122-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:height2m} [dmin]","AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,x,1,TREFHTMN o TREFMNAV ?,x,x,x,x,x,UM:1,lo-la-ti-h__tasmin,m01s03i236,
1,Daily Maximum Near-Surface Air Temperature,K,"maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: max"")",monthly mean of the daily-maximum near-surface air temperature.,tasmax,air_temperature,time: maximum within days time: mean over days,,real,longitude latitude time,tasmax,atmos,mon,area: areacella,Amon ((isd.003)),Amon_2d,17,bab942a8-e5dd-11e5-8482-ac72891c3257,2dd48e8c50b4b88a83ff07d308e4e642,f7e04194-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:height2m} [dmax]","AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,x,1,TREFHTMX o TREFMXAV ?,x,x,x,x,x,UM:1,lo-la-ti-h__tasmax,m01s03i236,
1,Sea Level Pressure,Pa,Sea Level Pressure,"not, in general, the same as surface pressure",psl,air_pressure_at_sea_level,time: mean,,real,longitude latitude time,psl,atmos,mon,area: areacella,Amon ((isd.003)),Amon_2d,18,bab48ce0-e5dd-11e5-8482-ac72891c3257,3d23c359f44d6a153c4dcab9e07d7cb6,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,DynVar,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,SolarMIP,VolMIP",,x,1,PSL,x,x,x,x,x,UM:1,lo-la-ti__psl,m01s16i222,
1,Surface Air Pressure,Pa,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates","not, in general, the same as mean sea-level pressure",ps,surface_air_pressure,time: mean,,real,longitude latitude time,ps,atmos,mon,area: areacella,Amon ((isd.003)),Amon_2d,19,bab47b56-e5dd-11e5-8482-ac72891c3257,8c9504d28596e05586c8e193082ac617,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,x,1,PS,x,x,x,x,x,UM:1,lo-la-ti__ps,m01s00i409,
1,Eastward Near-Surface Wind,m s-1,"Eastward component of the near-surface (usually, 10 meters)  wind",,uas,eastward_wind,time: mean,,real,longitude latitude time,uas,atmos,mon,,Amon ((isd.003)),Amon_2d,20,babb67c2-e5dd-11e5-8482-ac72891c3257,e72b243a2a1c8691ab0168d8b62534c2,f7e6dac2-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:height10m} [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,x,1,da UBOT e U10 (anto),x,x,x,x,x,UM:1,lo-la-ti-h__uas,m01s03i225,
1,Northward Near-Surface Wind,m s-1,Northward component of the near surface wind,,vas,northward_wind,time: mean,,real,longitude latitude time,vas,atmos,mon,,Amon ((isd.003)),Amon_2d,21,babbcd34-e5dd-11e5-8482-ac72891c3257,86b1cd51f370e346ecb20f1e80cb6ea4,f7e6dac2-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:height10m} [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,x,1,da VBOT e U10 (anto),x,x,x,x,x,UM:1,lo-la-ti-h__vas,m01s03i226,
1,Near-Surface Wind Speed,m s-1,"near-surface (usually, 10 meters) wind speed.","This is the mean of the speed, not the speed computed from the mean u and v components of wind",sfcWind,wind_speed,time: mean,,real,longitude latitude time,sfcWind,atmos,mon,,Amon ((isd.003)),Amon_2d,22,bab6f494-e5dd-11e5-8482-ac72891c3257,4b97609a32d53dff5b8e73729e4f258b,f7e6dac2-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:height10m} [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,x,1,WSPDSRFAV o WSPDSRFMX o U10 ?,x,x,x,x,x,UM:1,lo-la-ti-h__sfcWind,m01s03i227,
1,Near-Surface Relative Humidity,%,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",hurs,relative_humidity,time: mean,,real,longitude latitude time,hurs,atmos,mon,area: areacella,Amon ((isd.003)),Amon_2d,23,baaff41e-e5dd-11e5-8482-ac72891c3257,c75f684ec69602e9de82b48e53afb2cc,f7e1ef26-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:height2m} [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,x,1,RHREFHT,x,x,x,x,x,UM:1,lo-la-ti-h__hurs,m01s03i245,
