Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,Surface Air Pressure,Pa,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",,ps,surface_air_pressure,time: mean,,real,longitude latitude time,ps,atmos,day,area: areacella,CFday ((isd.003)),CFday_2d,15,bab46db4-e5dd-11e5-8482-ac72891c3257,8c9504d28596e05586c8e193082ac617,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,CFMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP",,False,1,False,x,x,x,x,False,UM:1,lo-la-ti__ps,m01s00i409,
1,TOA Incident Shortwave Radiation,W m-2,Shortwave radiation incident at the top of the atmosphere,,rsdt,toa_incoming_shortwave_flux,time: mean,down,real,longitude latitude time,rsdt,atmos,day,area: areacella,CFday ((isd.003)),CFday_2d,16,bab625a0-e5dd-11e5-8482-ac72891c3257,a21e250a10f96b1c1ad6d742206a157e,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,DCPP,HighResMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP",,error,1,False,x,x,x,x,False,UM:1,lo-la-ti__rsdt,m01s01i207,
1,TOA Outgoing Shortwave Radiation,W m-2,at the top of the atmosphere,,rsut,toa_outgoing_shortwave_flux,time: mean,up,real,longitude latitude time,rsut,atmos,day,area: areacella,CFday ((isd.003)),CFday_2d,17,bab68392-e5dd-11e5-8482-ac72891c3257,b907fef85d4c9571a9457ee1b259bb8f,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,DCPP,HighResMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP",,False,1,False,x,x,x,x,False,UM:1,lo-la-ti__rsut,m01s01i208,
1,Surface Downwelling Clear-Sky Shortwave Radiation,W m-2,surface solar irradiance clear sky for UV calculations,,rsdscs,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,time: mean,down,real,longitude latitude time,rsdscs,atmos,day,area: areacella,CFday ((isd.003)),CFday_2d,18,bab60b42-e5dd-11e5-8482-ac72891c3257,d0a35d5c99a0aa93ad4069cfe83bf748,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,CFMIP,HighResMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP",,False,1,False,x,x,x,x,False,UM:1,lo-la-ti__rsdscs,m01s01i210,
1,Surface Upwelling Clear-Sky Shortwave Radiation,W m-2,Surface upwelling clear-sky shortwave radiation,,rsuscs,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,time: mean,up,real,longitude latitude time,rsuscs,atmos,day,area: areacella,CFday ((isd.003)),CFday_2d,19,bab67424-e5dd-11e5-8482-ac72891c3257,90df05fe3dcd9fe0c9b48aaa74b5e9e2,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,HighResMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP",,False,1,False,x,x,x,x,False,UM:1,lo-la-ti__rsuscs,m01s01i211,
1,Surface Downwelling Clear-Sky Longwave Radiation,W m-2,Surface downwelling clear-sky longwave radiation,,rldscs,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,time: mean,down,real,longitude latitude time,rldscs,atmos,day,area: areacella,CFday ((isd.003)),CFday_2d,20,bab55792-e5dd-11e5-8482-ac72891c3257,7b2d1e1a3ece1169d8ac61af4b758ed2,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,HighResMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP",,False,1,False,x,x,x,x,False,UM:1,lo-la-ti__rldscs,m01s02i208,
1,TOA Outgoing Clear-Sky Longwave Radiation,W m-2,,,rlutcs,toa_outgoing_longwave_flux_assuming_clear_sky,time: mean,up,real,longitude latitude time,rlutcs,atmos,day,area: areacella,CFday ((isd.003)),CFday_2d,21,bab5c09c-e5dd-11e5-8482-ac72891c3257,921b8b8f6620826567d9324314c70410,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,HighResMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP",,False,1,False,x,x,x,x,False,UM:1,lo-la-ti__rlutcs,m01s02i206,
1,TOA Outgoing Clear-Sky Shortwave Radiation,W m-2,Calculated in the absence of clouds.,,rsutcs,toa_outgoing_shortwave_flux_assuming_clear_sky,time: mean,up,real,longitude latitude time,rsutcs,atmos,day,area: areacella,CFday ((isd.003)),CFday_2d,22,bab69f76-e5dd-11e5-8482-ac72891c3257,12e0369ff0ba1a6f1a84e0d9565d4b07,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,HighResMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP",,False,CHANGED: 1,False,x,x,x,x,False,UM:1,lo-la-ti__rsutcs,m01s01i209,
1,Condensed Water Path,kg m-2,Mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,calculate mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,clwvi,atmosphere_cloud_condensed_water_content,time: mean,,real,longitude latitude time,clwvi,atmos,day,area: areacella,CFday ((isd.003)),CFday_2d,24,baab15a2-e5dd-11e5-8482-ac72891c3257,80a1dd605b563e9f09c718a5ba9cb9cc,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,HighResMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP",,False,1,False,x,x,x,x,False,UM:1,lo-la-ti__clwvi,"m01s00i016,m01s05i262,m01s30i405,m01s30i406",m01s00i409
1,Ice Water Path,kg m-2,calculate mass of ice water in the column divided by the area of the column (not just the area of the cloudy portion of the column). This includes precipitating frozen hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,calculate mass of ice water in the column divided by the area of the column (not just the area of the cloudy portion of the column). This includes precipitating frozen hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,clivi,atmosphere_mass_content_of_cloud_ice,time: mean,,real,longitude latitude time,clivi,atmos,day,area: areacella,CFday ((isd.003)),CFday_2d,25,baaa9cc6-e5dd-11e5-8482-ac72891c3257,73c496f5669cc122cf1cddfe4df2a27a,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,HighResMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP",,False,CHANGED: 1,False,x,x,x,x,False,UM:1,lo-la-ti__clivi,m01s00i409,
