Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,Precipitation,kg m-2 s-1,includes both liquid and solid phases,Total precipitation flux,pr,precipitation_flux,time: mean,,,longitude latitude time,pr,atmos,1hr,area: areacella,HighResMIP [1hrLev],,13,8baebea6-4a5b-11e6-9cd2-ac72891c3257,62f26742cf240c1b5169a5cd511196b6,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]",HighResMIP,"CMIP6,DECK,HighResMIP",,False,CHANGED: 1(LIMITED),False,False,False,False,False,LIMITED,UM:1,lo-la-ti__pr,m01s05i216,
1,Convective Precipitation,kg m-2 s-1,Convective precipitation at surface; includes both liquid and solid phases.,Convective precipitation flux,prc,convective_precipitation_flux,time: mean,,real,longitude latitude time,prc,atmos,1hr,area: areacella,HighResMIP [1hrLev],,14,8baec3f6-4a5b-11e6-9cd2-ac72891c3257,aa2bea81f238ad8f2c35a7e16ad97801,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]",HighResMIP,"CMIP6,DECK,HighResMIP",,False,CHANGED: 1(LIMITED),False,False,False,False,False,LIMITED,UM:1,lo-la-ti__prc,"m01s05i205,m01s05i206",
3,Eastward Wind,m s-1,,Pressure levels (3),ua,eastward_wind,time: point,,,longitude latitude plev3 time1,ua,atmos,1hr,area: areacella,HighResMIP [1hr_energy],,13,8bb134b0-4a5b-11e6-9cd2-ac72891c3257,21db90c0a12448299f855fdab60930d4,19a69e72-81b1-11e6-92de-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (3 pressure levels into stratosphere) [XY-P3H] [tpt]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-p-ti__ua,"m01s30i201,m01s30i301",
3,Northward Wind,m s-1,,Pressure levels (3),va,northward_wind,time: point,,,longitude latitude plev3 time1,va,atmos,1hr,area: areacella,HighResMIP [1hr_energy],,14,8bb13b68-4a5b-11e6-9cd2-ac72891c3257,2dedcb347c18e132a2f4d625abf94585,19a69e72-81b1-11e6-92de-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (3 pressure levels into stratosphere) [XY-P3H] [tpt]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-p-ti__va,"m01s30i202,m01s30i301",
3,omega (=dp/dt),Pa s-1,"Omega (vertical velocity in pressure coordinates, positive downwards)",Pressure levels (3),wap,lagrangian_tendency_of_air_pressure,time: point,,real,longitude latitude plev3 time1,wap,atmos,1hr,area: areacella,HighResMIP [1hr_energy],,15,8bb14072-4a5b-11e6-9cd2-ac72891c3257,51fb29dd55442361fa9c5dbe23aca9c6,19a69e72-81b1-11e6-92de-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (3 pressure levels into stratosphere) [XY-P3H] [tpt]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-p-ti__wap,"m01s30i208,m01s30i301",
3,Air Temperature,K,Air Temperature,Pressure levels (3),ta,air_temperature,time: point,,,longitude latitude plev3 time1,ta,atmos,1hr,area: areacella,HighResMIP [1hr_energy],,16,8bb14612-4a5b-11e6-9cd2-ac72891c3257,b9c3eb96337c69c1c4a5aab1317f5563,19a69e72-81b1-11e6-92de-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (3 pressure levels into stratosphere) [XY-P3H] [tpt]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-p-ti__ta,"m01s30i204,m01s30i301",
3,Eastward Wind,m s-1,,Model levels or plev_27,ua,eastward_wind,time: point,,,longitude latitude plev27 time1,ua27,atmos,1hr,area: areacella,HighResMIP [1hr_strat],,13,f7ba1d48-562c-11e6-a2a4-ac72891c3257,21db90c0a12448299f855fdab60930d4,f7ea8046-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (27 pressure levels) [XY-P27] [tpt]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-p-ti__ua27,"m01s30i201,m01s30i301",
3,Northward Wind,m s-1,,Model levels or plev_27,va,northward_wind,time: point,,,longitude latitude plev27 time1,va27,atmos,1hr,area: areacella,HighResMIP [1hr_strat],,14,f7b84b8a-562c-11e6-a2a4-ac72891c3257,2dedcb347c18e132a2f4d625abf94585,f7ea8046-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (27 pressure levels) [XY-P27] [tpt]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-p-ti__va27,"m01s30i202,m01s30i301",
3,omega (=dp/dt),Pa s-1,"Omega (vertical velocity in pressure coordinates, positive downwards)",Model levels or plev_27,wap,lagrangian_tendency_of_air_pressure,time: point,,real,longitude latitude plev27 time1,wap27,atmos,1hr,area: areacella,HighResMIP [1hr_strat],,15,f7b9dd9c-562c-11e6-a2a4-ac72891c3257,51fb29dd55442361fa9c5dbe23aca9c6,f7ea8046-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (27 pressure levels) [XY-P27] [tpt]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-p-ti__wap27,"m01s30i208,m01s30i301",
3,Air Temperature,K,Air Temperature,Model levels or plev_27,ta,air_temperature,time: point,,,longitude latitude plev27 time1,ta27,atmos,1hr,area: areacella,HighResMIP [1hr_strat],,16,f7baf984-562c-11e6-a2a4-ac72891c3257,b9c3eb96337c69c1c4a5aab1317f5563,f7ea8046-562c-11e6-a2a4-ac72891c3257,"Instantaneous value (i.e. synoptic or time-step value), Global field (27 pressure levels) [XY-P27] [tpt]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -2,False,False,False,False,False,False,False,lo-la-p-ti__ta27,"m01s30i204,m01s30i301",
