Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,Transformed Eulerian Mean northward wind,m s-1,"Transformed Eulerian Mean Diagnostics v*, meridional component of the residual meridional circulation (v*, w*) derived from 6 hr or higher frequency data fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available).",zonal mean; hence YZT,vtem,northward_transformed_eulerian_mean_air_velocity,longitude: mean time: mean,,,latitude plev39 time,vtem,atmos,day,area: areacella,DynVar [DYVR_daily_a],,4,8b97d150-4a5b-11e6-9cd2-ac72891c3257,ba7be4134a9cf4838434bf204d80b903,f7e94ce4-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",DynVar,"AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -1,,False,False,False,False,False,UM:1,la-p-ti__vtem,m01s30i310,
1,Transformed Eulerian Mean upward wind,m s-1,"Transformed Eulerian Mean Diagnostics w*, meridional component of the residual meridional circulation (v*, w*) derived from 6 hr or higher frequency data fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available). Scale height: 6950 m",zonal mean; hence YZT,wtem,unset,longitude: mean time: mean,,,latitude plev39 time,wtem,atmos,day,area: areacella,DynVar [DYVR_daily_a],,5,8b97d678-4a5b-11e6-9cd2-ac72891c3257,c64364df884a3cebaa7aebb664260776,f7e94ce4-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",DynVar,"AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -1,,False,False,False,False,False,UM:1,la-p-ti__wtem,m01s30i311,
1,Northward Component of the Eliassen-Palm Flux,m3 s-2,"Transformed Eulerian Mean Diagnostics Meridional component Fy of Eliassen-Palm (EP) flux (Fy, Fz) derived from 6hr or higher frequency fields (use daily fields or 12 hr fields if the 6 hr are not available). Please use the definitions given by equation 3.5.3a of Andrews, Holton and Leovy text book, but scaled by density to have units m3 s-2.",zonal mean; hence YZT,epfy,northward_eliassen_palm_flux_in_air,longitude: mean time: mean,,,latitude plev39 time,epfy,atmos,day,area: areacella,DynVar [DYVR_daily_a],,6,8b97db46-4a5b-11e6-9cd2-ac72891c3257,9522ca96d0b066ebe8defd5541de0582,f7e94ce4-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",DynVar,"AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -3,,False,False,False,False,False,UM:1,la-p-ti__epfy,"m01s30i312,m01s30i301",
1,Upward Component of the Eliassen-Palm Flux,m3 s-2,"Transformed Eulerian Mean Diagnostics Meridional component Fz of the Eliassen-Palm (EP) flux (Fy, Fz) derived from 6hr or higher frequency fields (use daily fields or 12 hr fields if the 6 hr are not available). Please use the definitions given by equation 3.5.3b of Andrews, Holton and Leovy text book, but scaled by density to have units m3 s-2.",zonal mean; hence YZT,epfz,upward_eliassen_palm_flux_in_air,longitude: mean time: mean,,,latitude plev39 time,epfz,atmos,day,area: areacella,DynVar [DYVR_daily_a],,7,8b97e000-4a5b-11e6-9cd2-ac72891c3257,85631e0f7a8fdcb10737a525f4134181,f7e94ce4-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",DynVar,"AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -3,,False,False,False,False,False,UM:1,la-p-ti__epfz,"m01s30i313,m01s30i301",
1,Tendency of eastward wind due to Eliassen-Palm Flux divergence,m s-2,Tendency of the zonal mean zonal wind due to the divergence of the Eliassen-Palm flux.,"Called ""acceldivf"" in CCMI table; we suggest new name. zonal mean; hence YZT",utendepfd,tendency_of_eastward_wind_due_to_eliassen_palm_flux_divergence,longitude: mean time: mean,,,latitude plev39 time,utendepfd,atmos,day,area: areacella,DynVar [DYVR_daily_a],,8,8b97e4c4-4a5b-11e6-9cd2-ac72891c3257,590fa2bc-9e49-11e5-803c-0d0b866b59f3,f7e94ce4-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",DynVar,"AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -1,,False,False,False,False,False,recheck,la-p-ti__utendepfd,"m01s30i314,m01s30i301",
1,u-tendency orographic gravity wave drag,m s-2,Tendency of the eastward wind by parameterized orographic gravity waves. ,zonal mean; hence YZT,utendogw,tendency_of_eastward_wind_due_to_orographic_gravity_wave_drag,longitude: mean time: mean,,,latitude plev39 time,utendogw,atmos,day,area: areacella,DynVar [DYVR_daily_b],,9,8b97ea3c-4a5b-11e6-9cd2-ac72891c3257,590ed5a8-9e49-11e5-803c-0d0b866b59f3,f7e94ce4-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",DynVar,"AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: 2,,False,False,False,False,False,UM:1,la-p-ti__utendogw,m01s06i247,
1,u-tendency nonorographic gravity wave drag,m s-2,Tendency of the eastward wind by parameterized nonorographic gravity waves.  ,zonal mean; hence YZT,utendnogw,tendency_of_eastward_wind_due_to_nonorographic_gravity_wave_drag,longitude: mean time: mean,,,latitude plev39 time,utendnogw,atmos,day,area: areacella,DynVar [DYVR_daily_b],,10,8b97efc8-4a5b-11e6-9cd2-ac72891c3257,590e85a8-9e49-11e5-803c-0d0b866b59f3,f7e94ce4-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",DynVar,"AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: 2,,False,False,False,False,False,UM:1,la-p-ti__utendnogw,m01s06i115,
1,Transformed Eulerian Mean mass stramfunction,kg s^-1,"Residual mass streamfunction, computed from vstar and integrated from the top of the atmosphere (on the native model grid). Reference: Andrews et al (1987): Middle Atmospheric Dynamics. Accademic Press.",zonal mean; hence YZT,psitem,meridional_streamfunction_transformed_eulerian_mean,longitude: mean time: mean,,,latitude plev39 time,psitem,atmos,day,area: areacella,DynVar [DYVR_daily_b],,11,8b97f4be-4a5b-11e6-9cd2-ac72891c3257,59137716-9e49-11e5-803c-0d0b866b59f3,f7e94ce4-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",DynVar,"AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -999,,False,False,False,False,False,False,la-p-ti__psitem,,
1,Rendency of eastward wind due to TEM northward advection and Coriolis term,m s-1 d-1,"Tendency of zonally averaged eastward wind, by the residual upward wind advection (on the native model grid). Reference: Andrews et al (1987): Middle Atmospheric Dynamics. Accademic Press.",zonal mean; hence YZT,utendvtem,u-tendency_by_wstar_advection,longitude: mean time: mean,,,latitude plev39 time,utendvtem,atmos,day,area: areacella,DynVar [DYVR_daily_b],,12,8b97f9a0-4a5b-11e6-9cd2-ac72891c3257,590e48f4-9e49-11e5-803c-0d0b866b59f3,f7e94ce4-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",DynVar,"AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -999,,False,False,False,False,False,False,la-p-ti__utendvtem,,
1,Rendency of eastward wind due to TEM upward advection,m s-1 d-1,"Tendency of zonally averaged eastward wind, by the residual northward wind advection (on the native model grid). Reference: Andrews et al (1987): Middle Atmospheric Dynamics. Accademic Press.",zonal mean; hence YZT,utendwtem,u-tendency_by_vstar_advection,longitude: mean time: mean,,,latitude plev39 time,utendwtem,atmos,day,area: areacella,DynVar [DYVR_daily_b],,13,8b97fe6e-4a5b-11e6-9cd2-ac72891c3257,590e883c-9e49-11e5-803c-0d0b866b59f3,f7e94ce4-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Atmospheric Zonal Mean (on 39 pressure levels) [Y-P39] [tmean]",DynVar,"AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -999,,False,False,False,False,False,False,la-p-ti__utendwtem,,
