Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,u-tendency orographic gravity wave drag,m s-2,Tendency of the eastward wind by parameterized orographic gravity waves. ,,utendogw,tendency_of_eastward_wind_due_to_orographic_gravity_wave_drag,time: mean,,,longitude latitude plev19 time,utendogw,atmos,mon,area: areacella,DynVar [DYVR_monthly_d],,14,feeacc88-96ec-11e6-b81e-c9e268aff03a,590ed5a8-9e49-11e5-803c-0d0b866b59f3,f947ce0e-80ba-11e6-ab6e-5404a60d96b5,"Temporal mean, Global field (19 pressure levels) [XY-P19] [tmean]","DynVar,VolMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,CHANGED: 2,,False,False,False,False,False,recheck,lo-la-p-ti__utendogw17,m01s06i247,
1,u-tendency nonorographic gravity wave drag,m s-2,Tendency of the eastward wind by parameterized nonorographic gravity waves.  ,,utendnogw,tendency_of_eastward_wind_due_to_nonorographic_gravity_wave_drag,time: mean,,,longitude latitude plev19 time,utendnogw,atmos,mon,area: areacella,DynVar [DYVR_monthly_d],,15,feead2fa-96ec-11e6-b81e-c9e268aff03a,590e85a8-9e49-11e5-803c-0d0b866b59f3,f947ce0e-80ba-11e6-ab6e-5404a60d96b5,"Temporal mean, Global field (19 pressure levels) [XY-P19] [tmean]","DynVar,VolMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,CHANGED: 2,,False,False,False,False,False,False,lo-la-p-ti__utendnogw17,m01s06i115,
1,v-tendency orographic gravity wave drag,m s-2,"Tendency of the northward wind by parameterized orographic gravity waves.  (Note that CF name tables only have a general northward tendency for all gravity waves, and we need it separated by type.)",,vtendogw,tendency_of_northward_wind_due_to_orographic_gravity_wave_drag,time: mean,,,longitude latitude plev19 time,vtendogw,atmos,mon,area: areacella,DynVar [DYVR_monthly_d],,16,8b97ba1c-4a5b-11e6-9cd2-ac72891c3257,59140c12-9e49-11e5-803c-0d0b866b59f3,f947ce0e-80ba-11e6-ab6e-5404a60d96b5,"Temporal mean, Global field (19 pressure levels) [XY-P19] [tmean]","DynVar,VolMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,CHANGED: -999,,False,False,False,False,False,False,lo-la-p-ti__vtendogw17,,
1,v-tendency nonorographic gravity wave drag,m s-2,"Tendency of the northward wind by parameterized nonorographic gravity waves.  (Note that CF name tables only have a general northward tendency for all gravity waves, and we need it separated by type.)",,vtendnogw,tendency_of_northward_wind_due_to_nonorographic_gravity_wave_drag,time: mean,,,longitude latitude plev19 time,vtendnogw,atmos,mon,area: areacella,DynVar [DYVR_monthly_d],,17,8b97bfda-4a5b-11e6-9cd2-ac72891c3257,59170700-9e49-11e5-803c-0d0b866b59f3,f947ce0e-80ba-11e6-ab6e-5404a60d96b5,"Temporal mean, Global field (19 pressure levels) [XY-P19] [tmean]","DynVar,VolMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -999,,False,False,False,False,False,False,lo-la-p-ti__vtendnogw17,,
2,Downdraft Convective Mass Flux,kg m-2 s-1,Calculated as the convective mass flux divided by the area of the whole grid cell (not just the area of the cloud).,Updraght mass flux from convection scheme,mcd,atmosphere_downdraft_convective_mass_flux,time: mean,down,real,longitude latitude alevel time,mcd,atmos,mon,area: areacella,HighResMIP [Amon_conv],,19,8baef29a-4a5b-11e6-9cd2-ac72891c3257,e889a99259ce24104c8b21894ace22da,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]",,,,False,CHANGED: -1,False,False,False,False,False,False,False,lo-la-al-ti__mcd,m01s05i251,
2,Tendency of Air Temperature due to Model Physics,K s-1,"Tendency of air temperature due to model physics. This includes sources and sinks from parametrized physics (e.g. radiation, convection, boundary layer, stratiform condensation/evaporation, etc.). It excludes sources and sinks from resolved dynamics and numerical diffusion not associated with parametrized physics.  For example, any vertical diffusion which is part of the boundary layer mixing scheme should be included, while numerical diffusion applied in addition to physics or resolved dynamics should be excluded.  This term is required to check the closure of the heat budget.",Heating rate due to diabatic processes,tntmp,tendency_of_air_temperature_due_to_model_physics,time: mean,,real,longitude latitude plev27 time,tntmp27,atmos,mon,area: areacella,HighResMIP [Amon_diag],,13,f7b9aeb2-562c-11e6-a2a4-ac72891c3257,621681bc7c376de66228fdde13b97516,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: -3,False,False,False,False,False,False,False,lo-la-p-ti__tntmp27,"m01s01i181,m01s02i181,m01s03i181,m01s04i141,m01s04i181,m01s05i181,m01s06i181,m01s16i161,m01s16i181",
2,Longwave heating rate,K s-1,Tendency of air temperature due to longwave radiative heating,Heating rate due to shortwave radiative flux,tntrl,tendency_of_air_temperature_due_to_longwave_heating,time: mean,,float,longitude latitude plev27 time,tntrl27,aerosol,mon,area: areacella,HighResMIP [Amon_diag],,14,f7bc8808-562c-11e6-a2a4-ac72891c3257,5917483c-9e49-11e5-803c-0d0b866b59f3,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: 2,False,False,False,False,False,False,False,lo-la-p-ti__tntrl27,,
2,Shortwave heating rate,K s-1,Tendency of air temperature due to shortwave radiative heating,Heating rate due to longwave radiative flux,tntrs,tendency_of_air_temperature_due_to_shortwave_heating,time: mean,,float,longitude latitude plev27 time,tntrs27,aerosol,mon,area: areacella,HighResMIP [Amon_diag],,15,f7bc2138-562c-11e6-a2a4-ac72891c3257,59173c0c-9e49-11e5-803c-0d0b866b59f3,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: 2,False,False,False,False,False,False,False,lo-la-p-ti__tntrs27,,
2,Air Temperature,K,Air Temperature,,ta,air_temperature,time: mean,,,longitude latitude plev27 time,ta27,atmos,mon,area: areacella,HighResMIP [Amon_diag],,16,f7b91fb0-562c-11e6-a2a4-ac72891c3257,b9c3eb96337c69c1c4a5aab1317f5563,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,z,HighResMIP,"DECK,HighResMIP",,False,CHANGED: 3,False,x,x,x,x,False,False,lo-la-p-ti__ta27,"m01s30i204,m01s30i301",
2,Eastward Wind,m s-1,,,ua,eastward_wind,time: mean,,,longitude latitude plev27 time,ua27,atmos,mon,area: areacella,HighResMIP [Amon_diag],,17,f7bca518-562c-11e6-a2a4-ac72891c3257,21db90c0a12448299f855fdab60930d4,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: 3,False,x,x,x,x,False,False,lo-la-p-ti__ua27,"m01s30i201,m01s30i301",
2,Northward Wind,m s-1,,,va,northward_wind,time: mean,,,longitude latitude plev27 time,va27,atmos,mon,area: areacella,HighResMIP [Amon_diag],,18,f7bbbb44-562c-11e6-a2a4-ac72891c3257,2dedcb347c18e132a2f4d625abf94585,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: 3,False,x,x,x,x,False,False,lo-la-p-ti__va27,"m01s30i202,m01s30i301",
2,Geopotential Height,m,,,zg,geopotential_height,time: mean,,,longitude latitude plev27 time,zg27,atmos,mon,area: areacella,HighResMIP [Amon_diag],,19,f7bc248a-562c-11e6-a2a4-ac72891c3257,28e774ec0ecd561a6a3d437e6c443a6b,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: 3,False,x,x,x,x,False,False,lo-la-p-ti__zg27,"m01s30i207,m01s30i301",
2,Specific Humidity,1.0,,,hus,specific_humidity,time: mean,,,longitude latitude plev27 time,hus27,atmos,mon,area: areacella,HighResMIP [Amon_diag],,20,f7bcb260-562c-11e6-a2a4-ac72891c3257,53f4724d228998d54191c73352532ce3,f7ea1f3e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",HighResMIP,"DECK,HighResMIP",,False,CHANGED: 3,False,x,x,x,x,False,False,lo-la-p-ti__hus27,"m01s30i205,m01s30i301",
