Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,Snow Area Fraction,%,Fraction of each grid cell that is occupied by snow that rests on land portion of cell.,Fraction of each grid cell that is occupied by snow that rests on land portion of cell.,snc,surface_snow_area_fraction,area: time: mean ,,real,longitude latitude time,snc,landIce land,mon,area: areacella,LImon ((isd.003)),,14,bab7c2d4-e5dd-11e5-8482-ac72891c3257,e53e97d7e904fe67aa54b721b3c6a290,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","C4MIP,CFMIP,CMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,VIACSAB,VolMIP","C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP",,False,1,FSNO,x,x,x,x,False,recheck,lo-la-ti__snc,"m01s08i236,m01s03i317",
1,Surface Snow Amount,kg m-2,The mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as missing where the land fraction is 0; excludes snow on vegetation canopy or on sea ice.,Computed as the mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as 0.0 where the land fraction is 0; excluded is snow on vegetation canopy or on sea ice.,snw,surface_snow_amount,area: mean where land time: mean,,real,longitude latitude time,snw,landIce land,mon,area: areacella,LImon ((isd.003)),,15,bab81e50-e5dd-11e5-8482-ac72891c3257,0e1704f8fbacbe223946d84392b8064e,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","C4MIP,CFMIP,CMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,VIACSAB,VolMIP","C4MIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP",,x,1,H2OSNO_TOP,x,x,x,x,x,UM:1,lo-la-ti_a:m-land_snw,"m01s08i236,m01s03i317",m01s00i023
1,Snow Depth,m,"where land over land, this is computed as the mean thickness of snow in the land portion of the grid cell (averaging over the entire land portion, including the snow-free fraction).  Reported as 0.0 where the land fraction is 0.","where land over land, this is computed as the mean thickness of snow in the land portion of the grid cell (averaging over the entire land portion, including the snow-free fraction).  Reported as 0.0 where the land fraction is 0.",snd,surface_snow_thickness,area: mean where land time: mean,,real,longitude latitude time,snd,landIce land,mon,area: areacella,LImon ((isd.003)),,16,bab7e05c-e5dd-11e5-8482-ac72891c3257,19058c0a2aaaf3eaeca5093ea87c7e46,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","C4MIP,CFMIP,CMIP,DAMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,VIACSAB,VolMIP","C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP",,x,1,SNOWDP,x,x,x,x,change: False,recheck,lo-la-ti_a:m-land_snd,"m01s00i376,m01s03i317",
2,Liquid Water Content of Snow Layer,kg m-2,The total mass of liquid water contained interstitially within the whole depth of the snow layer of the land portion of a grid cell divided by the area of the land portion of the cell.,where land over land: this is computed as the total mass of liquid water contained interstitially within the snow layer of the land portion of a grid cell divided by the area of the land portion of the cell.,lwsnl,liquid_water_content_of_snow_layer,area: mean where land time: mean,,real,longitude latitude time,lwsnl,landIce land,mon,area: areacella,LImon ((isd.003)),,17,bab0f1a2-e5dd-11e5-8482-ac72891c3257,c7452587dbc0d44ad81fc174a656ecea,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,VIACSAB,VolMIP","C4MIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,ScenarioMIP,VolMIP",,False,-999,False,x,x,x,x,False,recheck,lo-la-ti_a:m-land_lwsnl,"m01s00i383,m01s00i380,m01s03i317",
2,Snow Soot Content,kg m-2,"the entire land portion of the grid cell is considered, with snow soot content set to 0.0 in regions free of snow.","the entire land portion of the grid cell is considered, with snow soot content set to 0.0 in regions free of snow.",sootsn,soot_content_of_surface_snow,area: mean where land time: mean,,real,longitude latitude time,sootsn,landIce land,mon,area: areacella,LImon ((isd.003)),,18,bab83fc0-e5dd-11e5-8482-ac72891c3257,d421b6923b396998106a8c1c66ea07f1,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,VIACSAB,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,ScenarioMIP,VolMIP",,False,-999,False,False,False,False,False,False,False,lo-la-ti_a:m-land_sootsn,,
1,Snow Age,day,"Age of Snow (when computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Reported as missing data in regions free of snow on land.","When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Reported as ""missing in regions free of snow on land.",agesno,age_of_surface_snow,area: mean where land time: mean (with samples weighted by snow mass),,real,longitude latitude time,agesno,landIce land,mon,area: areacella,LImon ((isd.003)),,19,baa7f8ae-e5dd-11e5-8482-ac72891c3257,51e0588121783d77407236e0d2eb5d14,19a2ec0a-81b1-11e6-92de-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmnsn]","C4MIP,CMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP",,False,CHANGED: -3,False,False,False,False,False,False,False,lo-la-ti_a:m-land_agesno,,
1,Snow Internal Temperature,K,"This temperature is averaged over all the snow in the grid cell that rests on land or land ice.  When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.   Reported as missing in regions free of snow on land.","This temperature is averaged over all the snow in the grid cell that rests on land or land ice.  When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.   Reported as ""missing in regions free of snow on land.",tsn,temperature_in_surface_snow,area: mean where land time: mean (with samples weighted by snow mass),,real,longitude latitude time,tsn,landIce land,mon,area: areacella,LImon ((isd.003)),,20,8bbac66a-4a5b-11e6-9cd2-ac72891c3257,15fd6126b9fb057118c71df94403e30c,19a2ec0a-81b1-11e6-92de-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmnsn]","C4MIP,CMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,VIACSAB,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,ScenarioMIP,VolMIP",,False,CHANGED: 2,False,x,x,x,x,False,recheck,lo-la-ti_a:m-land_tsn,"m01s00i384,m01s00i381,m01s00i380,m01s03i317",
1,Surface Snow Melt,kg m-2 s-1,The total surface snow melt rate on the land portion of the grid cell divided by the land area in the grid cell; report as zero for snow-free land regions and missing where there is no land.,Computed as the total surface melt water on the land portion of the grid cell divided by the land area in the grid cell; report as 0.0 for snow-free land regions; report as 0.0 where the land fraction is 0.,snm,surface_snow_melt_flux,area: mean where land time: mean,,real,longitude latitude time,snm,landIce land,mon,area: areacella,LImon ((isd.003)),,21,bab802f8-e5dd-11e5-8482-ac72891c3257,5652800cc64fd945cc990547aee633a1,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","C4MIP,CMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,VIACSAB,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP",,x,1,QSNOMELT,x,x,x,x,changed: false,UM:1,lo-la-ti_a:m-land_snm,"m01s08i237,m01s03i317",
1,Surface Snow and Ice Sublimation Flux,kg m-2 s-1,The snow and ice sublimation flux is the loss of snow and ice mass per unit area from the surface resulting from their direct conversion to water vapor that enters the atmosphere.,The snow and ice sublimation flux is the loss of snow and ice mass resulting from their conversion to water vapor.  Computed as the total sublimation on the land portion of the grid cell divided by the land area in the grid cell; reported as 0.0 for snow-free land regions; reported as 0.0 where the land fraction is 0.,sbl,surface_snow_and_ice_sublimation_flux,area: mean where land time: mean,,real,longitude latitude time,sbl,landIce,mon,area: areacella,LImon ((isd.003)),,22,bab6bba0-e5dd-11e5-8482-ac72891c3257,3a8e1636a31c82fbdd9a1ae45ab3be7d,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","C4MIP,CMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,VIACSAB,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP",,False,1,False,x,x,x,x,False,UM:1,lo-la-ti_a:m-land_sbl,m01s03i331,
1,Downward Heat Flux into Snow Where Land over Land,W m-2,the net downward heat flux from the atmosphere into the snow that lies on land divided by the land area in the grid cell; reported as 0.0 for snow-free land regions or where the land fraction is 0.,the net downward heat flux from the atmosphere into the snow that lies on land divided by the land area in the grid cell; reported as 0.0 for snow-free land regions or where the land fraction is 0.,hfdsn,surface_downward_heat_flux_in_snow,area: mean where land time: mean,down,real,longitude latitude time,hfdsn,landIce land,mon,area: areacella,LImon ((isd.003)),,23,baaed890-e5dd-11e5-8482-ac72891c3257,a634ef4f4c0cda3a3c0c02652ca8cc6a,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","C4MIP,CMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,VolMIP","C4MIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,ScenarioMIP,VolMIP",,False,CHANGED: -3,FGR,x,x,x,x,False,recheck,lo-la-ti_a:m-land_hfdsn,m01s08i202,
