Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,Moisture in Upper Portion of Soil Column,kg m-2,The mass of water in all phases in the upper 10cm of the  soil layer.,the mass of water in all phases in a thin surface soil layer.,mrsos,moisture_content_of_soil_layer,area: mean where land time: mean,,real,longitude latitude time,mrsos,land,mon,area: areacella,Lmon ((isd.003)),,14,bab1c85c-e5dd-11e5-8482-ac72891c3257,40c091a01dc9db6d6d5901528c375ab3,f7e71b5e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:sdepth1} [amnla-tmn]","AerChemMIP,CFMIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,False,1,SOILWATER_10CM,x,x,x,x,False,UM:1,lo-la-ti-sd_a:m-land_mrsos,m01s08i223,
1,Total Soil Moisture Content,kg m-2,the mass per unit area  (summed over all soil layers) of water in all phases.,the mass per unit area  (summed over all soil layers) of water in all phases.,mrso,soil_moisture_content,area: mean where land time: mean,,real,longitude latitude time,mrso,land,mon,area: areacella,Lmon ((isd.003)),,15,bab1a782-e5dd-11e5-8482-ac72891c3257,af574f1ac4a9f44a2d943352a455cfeb,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","AerChemMIP,C4MIP,CFMIP,CMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,x,1,TWS,x,x,x,x,No,UM:1,lo-la-ti_a:m-land_mrso,m01s08i223,
1,Soil Frozen Water Content,kg m-2,The mass per unit area (summed over all model layers) of frozen water.,the mass (summed over all all layers) of frozen water.,mrfso,soil_frozen_water_content,area: mean where land time: mean,,real,longitude latitude time,mrfso,land landIce,mon,area: areacella,Lmon ((isd.003)),,16,bab1688a-e5dd-11e5-8482-ac72891c3257,154d00de9ab9aff72373a673df10946a,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","AerChemMIP,C4MIP,CFMIP,CMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,False,1,SOILICE,x,x,x,x,False,UM:1,lo-la-ti_a:m-land_mrfso,m01s08i230,
1,Surface Runoff,kg m-2 s-1,The total surface run off leaving the land portion of the grid cell (excluding drainage through the base of the soil model).,the total surface runoff leaving the land portion of the grid cell.,mrros,surface_runoff_flux,area: mean where land time: mean,,real,longitude latitude time,mrros,land,mon,area: areacella,Lmon ((isd.003)),,17,bab19ff8-e5dd-11e5-8482-ac72891c3257,26a31ad76858198bd4d719aafeebe801,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","AerChemMIP,C4MIP,CFMIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,x,1,QOVER,x,x,x,x,Changed: False,UM:1,lo-la-ti_a:m-land_mrros,m01s08i234,
1,Total Runoff,kg m-2 s-1,The total run-off (including drainage through the base of the soil model) per unit area leaving the land portion of the grid cell.,"the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell.",mrro,runoff_flux,area: mean where land time: mean,,real,longitude latitude time,mrro,land,mon,area: areacella,Lmon ((isd.003)),,18,bab17a6e-e5dd-11e5-8482-ac72891c3257,e0a0f457ec117b27ca8353b11bf9d4fa,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","AerChemMIP,C4MIP,CFMIP,CMIP,DCPP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,x,1,QRUNOFF+QDRAI,x,x,x,x,Changed: False,UM:1,lo-la-ti_a:m-land_mrro,"m01s08i234,m01s08i235",
2,Precipitation onto Canopy,kg m-2 s-1,The precipitation flux that is intercepted by the vegetation canopy (if present in model) before reaching the ground.,the precipitation flux that is intercepted by the vegetation canopy (if present in model) before reaching the ground.,prveg,precipitation_flux_onto_canopy,area: mean where land time: mean,,real,longitude latitude time,prveg,land,mon,area: areacella,Lmon ((isd.003)),,19,bab45658-e5dd-11e5-8482-ac72891c3257,e54a3eda3d5fc42a9cd1354038ad45ed,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","AerChemMIP,C4MIP,CFMIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,RFMIP,ScenarioMIP,VolMIP",,False,1,False,False,False,False,False,False,False,lo-la-ti_a:m-land_prveg,"m01s05i216,m01s08i233",
1,Evaporation from Canopy,kg m-2 s-1,The canopy evaporation and sublimation (if present in model); may include dew formation as a negative flux.,the canopy evaporation+sublimation (if present in model).,evspsblveg,water_evaporation_flux_from_canopy,area: mean where land time: mean,up,real,longitude latitude time,evspsblveg,land,mon,area: areacella,Lmon ((isd.003)),,20,baad6596-e5dd-11e5-8482-ac72891c3257,32ed0e80b1ae2adc7d4fb4b71bce9285,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","AerChemMIP,C4MIP,CFMIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,False,1,QVEGE,False,False,False,False,False,UM:1,lo-la-ti_a:m-land_evspsblveg,m01s03i297,
1,Water Evaporation from Soil,kg m-2 s-1,Water evaporation from soil (including sublimation).,includes sublimation.,evspsblsoi,water_evaporation_flux_from_soil,area: mean where land time: mean,up,real,longitude latitude time,evspsblsoi,land,mon,area: areacella,Lmon ((isd.003)),,21,baad5d9e-e5dd-11e5-8482-ac72891c3257,fb6dac37f41c49ca02fc234d4da1a782,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","AerChemMIP,C4MIP,CFMIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,False,1,QSOIL,x,x,x,x,False,UM:1,lo-la-ti_a:m-land_evspsblsoi,m01s03i296,
1,Transpiration,kg m-2 s-1,Transpiration (may include dew formation as a negative flux).,,tran,transpiration_flux,area: mean where land time: mean,up,real,longitude latitude time,tran,land,mon,area: areacella,Lmon ((isd.003)),,22,baba9752-e5dd-11e5-8482-ac72891c3257,19e117c2298a016c96c496ee22f39976,f7de23aa-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]","AerChemMIP,C4MIP,CFMIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,False,1,QVEGT,False,False,False,False,False,False,lo-la-ti_a:m-land_tran,,
1,Water Content of Soil Layer,kg m-2,"The mass of water in all phases, including ice, in soil layers.  Report as missing for grid cells with no land.","in each soil layer, the mass of water in all phases, including ice.  Reported as ""missing"" for grid cells occupied entirely by ""sea""",mrlsl,moisture_content_of_soil_layer,area: mean where land time: mean,,real,longitude latitude sdepth time,mrlsl,land,mon,area: areacella,Lmon ((isd.003)),,23,bab17032-e5dd-11e5-8482-ac72891c3257,9f9b6ac3b6a206d024fb2a340dc338d5,f7ed82f0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on soil levels [XY-S] [amnla-tmn]","AerChemMIP,CFMIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,x,1,H2OSOI (% ),x,x,x,x,No,UM:1,lo-la-sd-ti_a:m-land_mrlsl,m01s08i223,
2,Temperature of Soil,K,Temperature of each soil layer. Reported as missing for grid cells with no land.,"Temperature of each soil layer.  Reported as ""missing"" for grid cells occupied entirely by ""sea"".",tsl,soil_temperature,time: mean,,real,longitude latitude sdepth time,tsl,land,mon,area: areacella,Lmon ((isd.003)),,24,babb0732-e5dd-11e5-8482-ac72891c3257,3fd3cb4e2d6dd15b7dd73def96fea129,f7ed82f0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on soil levels [XY-S] [amnla-tmn]","AerChemMIP,C4MIP,CFMIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,OMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,False,1,False,x,x,x,x,False,UM:1,lo-la-sd-ti__tsl,m01s08i225,
1,Tree Cover Fraction,%,Percentage of entire grid cell  that is covered by trees.,fraction of entire grid cell  that is covered by trees.,treeFrac,area_fraction,time: mean,,real,longitude latitude time,treeFrac,land,mon,area: areacella,Lmon ((isd.003)),,25,babab3ae-e5dd-11e5-8482-ac72891c3257,d3eb8c36759afa5ef2c8363e0c16db88,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,False,1,False,False,False,False,False,False,UM:1,lo-la-ti__treeFrac,m01s19i013,
1,Natural Grass Fraction,%,Percentage of entire grid cell that is covered by natural grass.,fraction of entire grid cell that is covered by natural grass.,grassFrac,area_fraction,time: mean,,real,longitude latitude time,grassFrac,land,mon,area: areacella,Lmon ((isd.003)),,26,baae910a-e5dd-11e5-8482-ac72891c3257,f972af18f1817a7bb5f961b534641394,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,False,1,False,False,False,False,False,False,UM:1,lo-la-ti__grassFrac,m01s03i317 CONFLICT,m01s19i013
1,Shrub Fraction,%,Percentage of entire grid cell  that is covered by shrub.,fraction of entire grid cell  that is covered by shrub.,shrubFrac,area_fraction,time: mean,,real,longitude latitude time,shrubFrac,land,mon,area: areacella,Lmon ((isd.003)),,27,bab76b9a-e5dd-11e5-8482-ac72891c3257,bdb1045bec7f58e9e6221cd39bb34c2f,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,False,1,False,False,False,False,False,False,UM:1,lo-la-ti__shrubFrac,m01s19i013,
1,Crop Fraction,%,Percentage of entire grid cell  that is covered by crop.,fraction of entire grid cell  that is covered by crop.,cropFrac,area_fraction,time: mean,,real,longitude latitude time,cropFrac,land,mon,area: areacella,Lmon ((isd.003)),,28,baab87f8-e5dd-11e5-8482-ac72891c3257,f730de87987b0357d3954c93c4a0c7f7,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,False,1,False,False,False,False,False,False,False,lo-la-ti__cropFrac,,
1,Anthropogenic Pasture Fraction,%,Percentage of entire grid cell  that is covered by anthropogenic pasture.,fraction of entire grid cell  that is covered by anthropogenic pasture.,pastureFrac,area_fraction,time: mean,,real,longitude latitude time,pastureFrac,land,mon,area: areacella,Lmon ((isd.003)),,29,bab30988-e5dd-11e5-8482-ac72891c3257,64c3bc72c46203646eb28fee17f6a5f7,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,C4MIP,CFMIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP",,False,1,False,False,False,False,False,False,False,lo-la-ti__pastureFrac,,
