Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,Near-Surface Specific Humidity,1.0,"Near-surface (usually, 2 meter) specific humidity.",,huss,specific_humidity,time: mean,,real,longitude latitude time,huss,atmos,day,area: areacella,day ((isd.003)),day_oth,14,bab0238a-e5dd-11e5-8482-ac72891c3257,ebfefc2ab8716ef597b128171b275945,f7e1ef26-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:height2m} [tmean]","CFMIP,CMIP,CORDEX,DAMIP,GMMIP,HighResMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP,VolMIP",,x,1,QREFHT,x,x,x,x,x,UM:1,lo-la-ti-h__huss,m01s03i237,
1,Daily Minimum Near-Surface Air Temperature,K,"minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: min"")",,tasmin,air_temperature,time: minimum,,real,longitude latitude time,tasmin,atmos,day,area: areacella,day ((isd.003)),day_oth,15,bab95fae-e5dd-11e5-8482-ac72891c3257,cce3dd39c138bf3c4d713263cc2e6cff,f7e59f36-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:height2m} [tmin]","AerChemMIP,CFMIP,CMIP,CORDEX,DAMIP,DCPP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,ScenarioMIP,VolMIP",,x,1,TREFHTMN,x,x,x,x,x,UM:1,lo-la-ti-h__tasmin,m01s03i236,
1,Daily Maximum Near-Surface Air Temperature,K,"maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: max"")",,tasmax,air_temperature,time: maximum,,real,longitude latitude time,tasmax,atmos,day,area: areacella,day ((isd.003)),day_oth,16,bab94a50-e5dd-11e5-8482-ac72891c3257,2dd48e8c50b4b88a83ff07d308e4e642,f7e2a074-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:height2m} [tmax]","AerChemMIP,CFMIP,CMIP,CORDEX,DAMIP,DCPP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,ScenarioMIP,VolMIP",,x,1,TREFHTMX,x,x,x,x,x,UM:1,lo-la-ti-h__tasmax,m01s03i236,
1,Near-Surface Air Temperature,K,"near-surface (usually, 2 meter) air temperature",,tas,air_temperature,time: mean,,real,longitude latitude time,tas,atmos,day,area: areacella,day ((isd.003)),day_oth,17,bab928ae-e5dd-11e5-8482-ac72891c3257,5c4978e802ba55d5a298cf1b3bdc2b3a,f7e1ef26-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:height2m} [tmean]","AerChemMIP,CFMIP,CMIP,CORDEX,DAMIP,DCPP,DynVar,GMMIP,HighResMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,ScenarioMIP,SolarMIP,VolMIP",,x,1,TREFHT,x,x,x,x,x,UM:1,lo-la-ti-h__tas,m01s03i236,
1,Precipitation,kg m-2 s-1,includes both liquid and solid phases,at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective),pr,precipitation_flux,time: mean,,real,longitude latitude time,pr,atmos,day,area: areacella,day ((isd.003)),day_oth,18,bab3d692-e5dd-11e5-8482-ac72891c3257,62f26742cf240c1b5169a5cd511196b6,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","AerChemMIP,CFMIP,CMIP,CORDEX,DAMIP,DCPP,DynVar,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GMMIP,GeoMIP,HighResMIP,ISMIP6,LS3MIP,LUMIP,PMIP,ScenarioMIP,SolarMIP,VolMIP",,x,1,PRECT,x,x,x,x,x,UM:1,lo-la-ti__pr,m01s05i216,
1,Sea Level Pressure,Pa,Sea Level Pressure,,psl,air_pressure_at_sea_level,time: mean,,real,longitude latitude time,psl,atmos,day,area: areacella,day ((isd.003)),day_oth,19,bab491f4-e5dd-11e5-8482-ac72891c3257,3d23c359f44d6a153c4dcab9e07d7cb6,f7dcac96-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmean]","CFMIP,CMIP,CORDEX,DAMIP,DCPP,DynVar,GMMIP,HighResMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP,SolarMIP,VolMIP",,x,1,PSL,x,x,x,x,x,UM:1,lo-la-ti__psl,m01s16i222,
1,Daily-Mean Near-Surface Wind Speed,m s-1,"near-surface (usually, 10 meters) wind speed.",,sfcWind,wind_speed,time: mean,,real,longitude latitude time,sfcWind,atmos,day,,day ((isd.003)),day_oth,20,bab6fe58-e5dd-11e5-8482-ac72891c3257,4b97609a32d53dff5b8e73729e4f258b,f7e6dac2-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:height10m} [tmean]","CFMIP,CMIP,CORDEX,DAMIP,DCPP,GMMIP,HighResMIP,RFMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,ScenarioMIP,VolMIP",,x,1,WSPDSRFAV o WSPDSRFMX o U10 ?,x,x,x,x,x,UM:1,lo-la-ti-h__sfcWind,m01s03i227,
1,Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,m,unset,,omldamax,ocean_mixed_layer_thickness_defined_by_mixing_scheme,time: maximum,,real,longitude latitude time,omldamax,ocean,day,area: areacello,day ((isd.003)),day_oth,23,bab2ce3c-e5dd-11e5-8482-ac72891c3257,5f8dc9362d17e2daa42dd6f0f38afb76,f7e37f76-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] [tmax]","CFMIP,CMIP,CORDEX,DAMIP,GMMIP,HighResMIP,VIACSAB,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,GeoMIP,HighResMIP,ISMIP6,PMIP,ScenarioMIP,VolMIP",2,x,1,False,False,False,False,False,x,UM:1,lo-la-ti__omldamax,,
1,Moisture in Upper Portion of Soil Column,kg m-2,The mass of water in all phases in the upper 10cm of the  soil layer.,the mass of water in all phases in a thin surface soil layer.,mrsos,moisture_content_of_soil_layer,area: mean where land time: mean,,real,longitude latitude time,mrsos,land,day,area: areacella,day ((isd.003)),day_oth,24,bab1ca14-e5dd-11e5-8482-ac72891c3257,40c091a01dc9db6d6d5901528c375ab3,f7e71b5e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:sdepth1} [amnla-tmn]","CFMIP,CMIP,CORDEX,DAMIP,GMMIP,HighResMIP,LS3MIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,ScenarioMIP,VolMIP",,False,1,SOILWATER_10CM,x,x,x,x,False,UM:1,lo-la-ti-sd_a:m-land_mrsos,m01s08i223,
1,Near-Surface Relative Humidity,%,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",hurs,relative_humidity,time: mean,,real,longitude latitude time,hurs,atmos,day,area: areacella,day ((isd.003)),day_oth,25,5a070350-c77d-11e6-8a33-5404a60d96b5,c75f684ec69602e9de82b48e53afb2cc,f7e1ef26-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (single level) [XY-na] {:height2m} [tmean]","AerChemMIP,CFMIP,CORDEX,DAMIP,HighResMIP,PMIP,VIACSAB,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,ScenarioMIP,VolMIP",,x,,False,x,x,x,x,x,UM:1,lo-la-ti-h__rhs,m01s03i245,
