Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,,
1,Eastward Near-Surface Wind,m s-1,"near-surface (usually, 10 meters) eastward component of wind.",This is sampled synoptically.,uas,eastward_wind,time: point,None,real,longitude latitude height10m time1,uas,atmos,1hr,,PRIMAVERA additional,,,prim1hrpt_uas,,,,,,,limited,1 (LIMITED),False,False,False,False,False,Limited,LIMITED,lo-la-h-ti__uas,m01s03i209,,
1,Northward Near-Surface Wind,m s-1,"near-surface (usually, 10 meters) northward component of wind.",This is sampled synoptically.,vas,northward_wind,time: point,None,real,longitude latitude height10m time1,vas,atmos,1hr,,PRIMAVERA additional,,,prim1hrpt_vas,,,,,,,limited,1 (LIMITED),False,False,False,False,False,Limited,LIMITED,lo-la-h-ti__vas,m01s03i210,,
1,Eastward 50m Wind,m s-1,eastward component of wind at 50 m,"limited domain, 10 year data set, nearest level",ua50m,eastward_wind,time: point,None,real,longitude latitude height50m time1,,atmos,1hr,,PRIMAVERA additional,,,prim1hrpt_ua50m,,,,,,,0,3 (LIMITED),False,False,False,False,False,False,LIMITED,lo-la-h-ti__ua50m,m01s15i212,,
1,Northward 50m Wind,m s-1,northward component of wind at 50 m,"limited domain, 10 year data set, nearest level",va50m,northward_wind,time: point,None,real,longitude latitude height50m time1,,atmos,1hr,,PRIMAVERA additional,,,prim1hrpt_va50m,,,,,,,0,3 (LIMITED),False,False,False,False,False,False,LIMITED,lo-la-h-ti__va50m,m01s15i213,,
1,Eastward 100m Wind,m s-1,eastward component of wind at 100 m,"limited domain, 10 year data set, nearest level",ua100m,eastward_wind,time: point,None,real,longitude latitude height100m time1,,atmos,1hr,,PRIMAVERA additional,,,prim1hrpt_ua100m,,,,,,,0,3 (LIMITED),False,False,False,False,False,False,LIMITED,lo-la-h-ti__ua100m,m01s15i002,,
1,Northward 100m Wind,m s-1,northward component of wind at 100 m,"limited domain, 10 year data set, nearest level",va100m,northward_wind,time: point,None,real,longitude latitude height100m time1,,atmos,1hr,,PRIMAVERA additional,,,prim1hrpt_va100m,,,,,,,0,3 (LIMITED),False,False,False,False,False,False,LIMITED,lo-la-h-ti__va100m,m01s15i003,,
1,Surface Diffuse Downwelling Shortwave Radiation,W m-2,,"limited domain, 10 year data set",rsdsdiff,surface_diffuse_downwelling_shortwave_flux_in_air,time: mean,None,real,longitude latitude time,rsdsdiff,atmos,1hr,area: areacella,PRIMAVERA additional,,,prim1hrpt_rsdsdiff,,,,,,,0,1 (LIMITED),False,False,False,False,False,False,LIMITED,lo-la-ti__rsdsdiff,m01s01i216,,
1,Surface Downwelling Shortwave Radiation,W m-2,surface solar irradiance for UV calculations,"limited domain, 10 year data set",rsds,surface_downwelling_shortwave_flux_in_air,time: mean,down,real,longitude latitude time,rsds,atmos,1hr,area: areacella,PRIMAVERA additional,,,prim1hrpt_rsds,,,,,,,limited,1 (LIMITED),False,False,False,False,False,Limited,LIMITED,lo-la-ti__rsds,m01s01i235,,
2,Maximum Near-Surface Wind Speed,m s-1,"near-surface (usually, 10 meters) wind speed.","limited domain, 10 year data set",sfcWindmax,wind_speed,time: maximum,None,real,longitude latitude height10m time,sfcWindmax,atmos,1hr,,PRIMAVERA additional,,,prim1hrpt_sfcWindmax,,,,,,,limited,3 (LIMITED),False,False,False,False,False,Limited,LIMITED,lo-la-h-ti__sfcWindmax,m01s03i227,,
2,Maximum 50m Wind,m s-1,50m wind speed,"limited domain, 10 year data set, nearest level",wind50mmax,wind_speed,time: maximum,None,real,longitude latitude height50m time,,atmos,1hr,,PRIMAVERA additional,,,prim1hrpt_wind50max,,,,,,,0,3 (LIMITED),False,False,False,False,False,False,False,lo-la-h-ti__wind50max,,,
2,Maximum 100m Wind,m s-1,100m wind speed,"limited domain, 10 year data set, nearest level",wind100mmax,wind_speed,time: maximum,None,real,longitude latitude height100m time,,atmos,1hr,,PRIMAVERA additional,,,prim1hrpt_wind100max,,,,,,,0,3 (LIMITED),False,False,False,False,False,False,False,lo-la-h-ti__wind100max,,,
2,Maximum Near-Surface Wind Speed of Gust,m s-1,near surface (10m) wind gust,"limited domain, 10 year data set",wsgmax,wind_speed_of_gust,time: maximum,None,real,longitude latitude height10m time,,atmos,1hr,,PRIMAVERA additional,,,prim1hrpt_wsgsmax,,,,,,,0,CHANGED: -1,False,False,False,False,False,False,LIMITED,lo-la-h-ti__wsgsmax,m01s03i463,,
2,Maximum Wind Speed of Gust at 50m,m s-1,50m wind gust,"limited domain, 10 year data set, nearest level",wsgmax50m,wind_speed_of_gust,time: maximum,None,real,longitude latitude height50m time,,atmos,1hr,,PRIMAVERA additional,,,prim1hrpt_wsgsmax50,,,,,,,0,CHANGED: -1,False,False,False,False,False,False,False,lo-la-h-ti__wsgsmax50,,,
2,Maximum Wind Speed of Gust at 100m,m s-1,100m wind gust,"limited domain, 10 year data set, nearest level",wsgmax100m,wind_speed_of_gust,time: maximum,None,real,longitude latitude height100m time,,atmos,1hr,,PRIMAVERA additional,,,prim1hrpt_wsgsmax100,,,,,,,0,CHANGED: -1,False,False,False,False,False,False,False,lo-la-h-ti__wsgsmax100,,,
2,Maximum Surface Diffuse Downwelling Shortwave Radiation,W m-2,,"limited domain, 10 year data set",rsdsdiffmax,surface_diffuse_downwelling_shortwave_flux_in_air,time: maximum,None,real,longitude latitude time,,atmos,1hr,area: areacella,PRIMAVERA additional,,,m01s01i216,,,,,,,0,CHANGED: -1,False,False,False,False,False,False,LIMITED,lo-la-ti__rsdsdiffmax,m01s01i216,,
2,Maximum Surface Downwelling Shortwave Radiation,W m-2,surface solar irradiance for UV calculations,"limited domain, 10 year data set",rsdsmax,surface_downwelling_shortwave_flux_in_air,time: maximum,down,real,longitude latitude time,,atmos,1hr,area: areacella,PRIMAVERA additional,,,prim1hrpt_rsdsmax,,,,,,,0,CHANGED: 3 (LIIMITED),False,False,False,False,False,False,LIMITED,lo-la-ti__rsdsmax,m01s01i235,,
2,Minimum Surface Diffuse Downwelling Shortwave Radiation,W m-2,,"limited domain, 10 year data set",rsdsdiffmin,surface_diffuse_downwelling_shortwave_flux_in_air,time: minimum,None,real,longitude latitude time,,atmos,1hr,area: areacella,PRIMAVERA additional,,,prim1hrpt_rsdsdiffmin,,,,,,,0,CHANGED: 3 (LIIMITED),False,False,False,False,False,False,LIMITED,lo-la-ti__rsdsdiffmin,m01s01i216,,
