Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,Eastward 50m Wind,m s-1,eastward component of wind at 50 m,Nearest level acceptable,ua50m,eastward_wind,time: point,None,real,longitude latitude height50m time1,,atmos,3hr,,PRIMAVERA_additional,,,prim3hrpt_ua50m,,,,,,,limited,3 (WP10/11),False,False,False,False,False,LIMITED,UM:1,lo-la-h-ti__ua50m,m01s15i212,
1,Northward 50m Wind,m s-1,northward component of wind at 50 m,Nearest level acceptable,va50m,northward_wind,time: point,None,real,longitude latitude height50m time1,,atmos,3hr,,PRIMAVERA_additional,,,prim3hrpt_va50m,,,,,,,limited,3 (WP10/11),False,False,False,False,False,LIMITED,UM:1,lo-la-h-ti__va50m,m01s15i213,
1,Eastward 100m Wind,m s-1,eastward component of wind at 100 m,Nearest level acceptable,ua100m,eastward_wind,time: point,None,real,longitude latitude height100m time1,,atmos,3hr,,PRIMAVERA_additional,,,prim3hrpt_ua100m,,,,,,,limited,3 (WP10/11),False,x,x,x,x,LIMITED,UM:1,lo-la-al-ti__ua100m,m01s00i002,
1,Northward 100m Wind,m s-1,northward component of wind at 100 m,Nearest level acceptable,va100m,northward_wind,time: point,None,real,longitude latitude height100m time1,,atmos,3hr,,PRIMAVERA_additional,,,prim3hrpt_va100m,,,,,,,limited,3 (WP10/11),False,x,x,x,x,LIMITED,UM:1,lo-la-al-ti__va100m,m01s00i003,
1,Eastward Wind at 100 hPa,m s-1,Eastward wind at 100 hPa,,ua100,eastward_wind,time: point,None,real,longitude latitude p100 time1,,atmos,3hr,,PRIMAVERA_additional,,,prim3hrpt_ua100,,,,,,,limited,3,False,x,x,x,x,LIMITED,False,lo-la-p-ti__ua100,"m01s30i201,m01s30i301",
1,Northward Wind at 100 hPa,m s-1,Northward wind at 100 hPa,,va100,northward_wind,time: point,None,real,longitude latitude p100 time1,,atmos,3hr,,PRIMAVERA_additional,,,prim3hrpt_va100,,,,,,,limited,3,False,x,x,x,x,LIMITED,False,lo-la-p-ti__va100,"m01s30i202,m01s30i301",
1,Air Temperature at 100 hPa,m s-1,Air Temperature at 100 hPa,,ta100,air_temperature,time: point,None,real,longitude latitude p100 time1,,atmos,3hr,,PRIMAVERA_additional,,,prim3hrpt_ta100,,,,,,,limited,3,False,x,x,x,x,LIMITED,False,lo-la-p-ti__ta100,m01s30i204,
1,Specific humidity at 100 hPa,m s-1,Specific humidity at 100 hPa,,hus100,specific_humidity,time: point,None,real,longitude latitude p100 time1,,atmos,3hr,,PRIMAVERA_additional,,,prim3hrpt_hus100,,,,,,,limited,3,False,x,x,x,x,LIMITED,False,lo-la-p-ti__hus100,m01s30i205,
1,vorticity_mean_850_700,s-1,"Mean vorticity over 850,700,600 hPa","Mean vorticity over 850,700,600 hPa",vortmean,atmosphere_relative_vorticity,time: point,,,longitude latitude plev7h time1,vortmean,atmos,3hr,area: areacella,MJR additional,,,prim3hrpt_vortmean,,,,,,,0,-999,,x,x,x,x,False,UM:1,lo-la-p-ti__vortmean,m01s30i457,
1,Geopotential Height,m,,Geopotential height,zg,geopotential_height,time: point,None,real,longitude latitude plev7h time1,zg7h,atmos,3hr,area: areacella,MJR additional,,,prim3hrpt_zg7h,,,,,,,limited,3,,x,x,x,x,LIMITED,UM:1,lo-la-p-ti__zg7h,"m01s30i207,m01s30i301",
1,Eastward Wind at 1000 hPa,m s-1,Eastward wind at 1000 hPa,,ua1000,eastward_wind,time: point,None,real,longitude latitude p1000 time1,,atmos,3hr,,#70/Extra_plev_request,,,prim3hrpt_ua1000,,,,,,,limited,3,,x,x,x,x,LIMITED,,,,
1,Northward Wind at 1000 hPa,m s-1,Northward wind at 1000 hPa,,va1000,northward_wind,time: point,None,real,longitude latitude p1000 time1,,atmos,3hr,,#70/Extra_plev_request,,,prim3hrpt_va1000,,,,,,,limited,3,,x,x,x,x,LIMITED,,,,
1,Specific Humidity,1.0,,,hus1000,specific_humidity,time: point,None,real,longitude latitude p1000 time1,,atmos,3hr,area: areacella,#70/Extra_plev_request,,,prim3hrpt_hus1000,,,,,,,limited,3,,False,False,False,False,LIMITED,,,,
