Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,Maximum Near-Surface Wind Speed of Gust,m s-1,,"Maximum gust speed of the near-surface (usually, 10 meters)  wind",wsgmax,wind_speed_of_gust,time: maximum,,real,longitude latitude height10m time,wsgmax,atmos,6hr,,PRIMAVERA additional,,,prim6hr_wsgsmax,,,,,,,0,CHANGED: -1 (WP10/11),x,x,x,x,x,False,UM:1,lo-la-h-ti__wsgsmax,m01s03i463,
1,Maximum Near-Surface Wind Speed,m s-1,,,sfcWindmax,wind_speed_of_gust,time: maximum,,real,longitude latitude height10m time,sfcWindmax,atmos,6hr,,PRIMAVERA additional,,,prim6hr_sfcWindmax,,,,,,,0,3 (WP10/11),x,x,x,x,x,False,UM:1,lo-la-h-ti__sfcWindmax,m01s03i227,
1,Tendency of Air Temperature due to Convection,K s-1,,10 years only,tntc,tendency_of_air_temperature_due_to_convection,time: mean,,real,longitude latitude alevel time,tntc,atmos,6hr,,#70:Diabatic_temp_tend_request,,,prim6hr_tntc,,,,,,,New: false,CHANGED: 2,,False,False,False,False,False,0,lo-la-al-ti__tntc,m01s05i181,
1,Tendency of Air Temperature due to Long Wave heating,K s-1,,10 years only,tntrl,tendency_of_air_temperature_due_to_convection,time: mean,,real,longitude latitude alevel time,tntrl,atmos,6hr,,#70:Diabatic_temp_tend_request,,,prim6hr_tntrl,,,,,,,New: false,-999,,False,False,False,False,False,0,lo-la-al-ti__tntrl,m01s02i181,
1,Tendency of Air Temperature due to Boundary Layer Mixing,K s-1,,10 years only,tntpbl,tendency_of_air_temperature_due_to_boundary_layer_mixing,time: mean,,real,longitude latitude alevel time,tntpbl,atmos,6hr,,#70:Diabatic_temp_tend_request,,,prim6hr_tntpbl,,,,,,,New: false,CHANGED: 2,,False,False,False,False,False,recheck,lo-la-al-ti__tntpbl,m01s03i181,
1,Tendency of Air Temperature due to Shortwave Heating,K s-1,,10 years only,tntrs,tendency_of_air_temperature_due_to_shortwave_heating,time: mean,,real,longitude latitude alevel time,tntrs,atmos,6hr,,#70:Diabatic_temp_tend_request,,,prim6hr_tntrs,,,,,,,New: false,CHANGED: 2,,False,False,False,False,False,0,lo-la-al-ti__tntrs,m01s01i181,"m01s09i181, m01s04i181"
1,Tendency of Air Temperature due to Stratiform Clouds and Precipitation,K s-1,,10 years only,tntscp,tendency_of_air_temperature_due_to_stratiform_clouds_and_precipitation,time: mean,,real,longitude latitude alevel time,tntscp,atmos,6hr,,#70:Diabatic_temp_tend_request,,,prim6hr_tntscp,,,,,,,New: false,CHANGED: 2,,False,False,False,False,False,recheck,lo-la-al-ti__tntscp,"m01s04i181,m01s09i181,m01s03i181,m01s16i181",
1,Precipitation,kg m-2 s-1,includes both liquid and solid phases,at surface; includes both liquid and solid phases.  This is the 3-hour mean precipitation flux.,pr,precipitation_flux,time: mean,,real,longitude latitude time,pr,atmos,6hr,area: areacella,#70:comment:16,,,prim6hr_pr,,,,,,,0,NEW: 1,,x,x,x,x,New: x,0,lo-la-ti__pr,m01s05i216,
1,Surface Downwelling Shortwave Radiation,W m-2,surface solar irradiance for UV calculations,This is the 3-hour mean flux.,rsds,surface_downwelling_shortwave_flux_in_air,time: mean,down,real,longitude latitude time,rsds,atmos,6hr,area: areacella,#70:comment:16,,,prim6hr_rsds,,,,,,,0,NEW: 1,x,x,x,x,x,New: x,0,lo-la-ti__rsds,m01s01i235,
1,Surface Air Pressure,Pa,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates","not, in general, the same as mean sea-level pressure",ps,surface_air_pressure,time: mean,,real,longitude latitude time,ps,atmos,6hr,area: areacella,#70:comment:16,,,prim6hr_ps,,,,,,,0,NEW: 1,x,x,x,x,x,New: x,0,lo-la-ti__ps,m01s00i409,
1,Total Cloud Fraction,1.0,"Total cloud area fraction for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes both large-scale and convective cloud.","for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.",clt,cloud_area_fraction,time: mean,,real,longitude latitude time,clt,atmos,6hr,area: areacella,#70:comment:16,,,prim6hr_clt,,,,,,,0,NEW: 1,,x,x,x,x,New: x,0,lo-la-ti__clt,m01s02i204,
1,Surface Diffuse Downwelling Shortwave Radiation,W m-2,unset,This is a 3-hour mean flux.,rsdsdiff,surface_diffuse_downwelling_shortwave_flux_in_air,time: mean,,real,longitude latitude time,rsdsdiff,atmos,6hr,area: areacella,#70:comment:16,,,prim6hr_rsdsdiff,,,,,,,0,NEW: 1,,False,False,False,False,New: False,0,lo-la-ti__rsdsdiff,m01s01i216,
1,Eastward Wind,m s-1,,plev_4,ua,eastward_wind,time: mean,,,longitude latitude plev4 time,ua4,atmos,6hr,area: areacella,HighResMIP [6hrPlev_extr_dr],,24,8bae55ba-4a5b-11e6-9cd2-ac72891c3257,21db90c0a12448299f855fdab60930d4,f7ec89ae-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (4 pressure levels) [XY-P4] [tmean]",HighResMIP,"CMIP6,DECK,HighResMIP",,x,3,x,x,x,x,x,x,False,lo-la-p-ti__ua4,"m01s30i201,m01s30i301",
1,Northward Wind,m s-1,,plev_4,va,northward_wind,time: mean,,,longitude latitude plev4 time,va4,atmos,6hr,area: areacella,HighResMIP [6hrPlev_extr_dr],,25,8bae5aba-4a5b-11e6-9cd2-ac72891c3257,2dedcb347c18e132a2f4d625abf94585,f7ec89ae-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (4 pressure levels) [XY-P4] [tmean]",HighResMIP,"CMIP6,DECK,HighResMIP",,x,3,x,x,x,x,x,x,False,lo-la-p-ti__va4,"m01s30i202,m01s30i301",
1,Specific Humidity,1.0,,plev_4,hus,specific_humidity,time: mean,,,longitude latitude plev4 time,hus4,atmos,6hr,area: areacella,HighResMIP [6hrPlev_extr_dr],,27,8bae64ba-4a5b-11e6-9cd2-ac72891c3257,53f4724d228998d54191c73352532ce3,f7ec89ae-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (4 pressure levels) [XY-P4] [tmean]",HighResMIP,"CMIP6,DECK,HighResMIP",,x,3,False,x,x,x,x,x,False,lo-la-p-ti__hus4,"m01s30i205,m01s30i301",
