Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,Fraction of time steps with sea ice,1.0,Fraction of time steps of the averaging period during which sea ice is present (siconc >0 ) in a grid cell,,sitimefrac,sea_ice_time_fraction,area: time: mean where sea_ice,,,longitude latitude time,sitimefrac,seaIce,day,area: areacello,SIMIP upgrades,,,primSIday_sitimefrac,,,,,,3,Changed: x,2,,,,,,False,CICE:1,lo-la-ti_a:m-seaice_sitimefrac,Structure not defined,
1,X-component of atmospheric stress on sea ice,N m-2,X-component of atmospheric stress on sea ice,,sistrxdtop,surface_downward_x_stress,area: time: mean where sea_ice,,,longitude latitude time,sistrxdtop,seaIce,day,area: areacello,SIMIP upgrades,,,primSIday_sistrxdtop,,,,,,1,x,1,,,,,,x,CICE:1,lo-la-ti_a:m-seaice_sistrxdtop,Structure not defined,
1,Y-component of atmospheric stress on sea ice,N m-2,Y-component of atmospheric stress on sea ice,,sistrydtop,surface_downward_y_stress,area: time: mean where sea_ice,,,longitude latitude time,sistrydtop,seaIce,day,area: areacello,SIMIP upgrades,,,primSIday_sistrydtop,,,,,,1,x,1,,,,,,x,CICE:1,lo-la-ti_a:m-seaice_sistrydtop,Structure not defined,
1,X-component of ocean stress on sea ice,N m-2,X-component of ocean stress on sea ice,,sistrxubot,sea_ice_base_upward_x_stress,area: time: mean where sea_ice,,,longitude latitude time,sistrxubot,seaIce,day,area: areacello,SIMIP upgrades,,,primSIday_sistrxubot,,,,,,3,x,1,,,,,,x,CICE:1,lo-la-ti_a:m-seaice_sistrxubot,Structure not defined,
1,Y-component of ocean stress on sea ice,N m-2,Y-component of ocean stress on sea ice,,sistryubot,sea_ice_base_upward_y_stress,area: time: mean where sea_ice,,,longitude latitude time,sistryubot,seaIce,day,area: areacello,SIMIP upgrades,,,primSIday_sistryubot,,,,,,3,x,1,,,,,,x,CICE:1,lo-la-ti_a:m-seaice_sistryubot,Structure not defined,
1,Internal stress term in force balance (x-component),N m-2,X-component of force on sea ice caused by internal stress (divergence of sigma),,siforceintstrx,internal_stress_in_sea_ice_x,area: time: mean where sea_ice,,,longitude latitude time,siforceintstrx,seaIce,day,area: areacello,SIMIP upgrades,,,primSIday_siforceintstrx,,,,,,3,0,-1,,,,,,False,CICE:1,lo-la-ti_a:m-seaice_siforceintstrx,Structure not defined,
1,Internal stress term in force balance (y-component),N m-2,Y-component of force on sea ice caused by internal stress (divergence of sigma),,siforceintstry,internal_stress_in_sea_ice_y,area: time: mean where sea_ice,,,longitude latitude time,siforceintstry,seaIce,day,area: areacello,SIMIP upgrades,,,primSIday_siforceintstry,,,,,,3,0,-1,,,,,,False,CICE:1,lo-la-ti_a:m-seaice_siforceintstry,Structure not defined,
1,Divergence of the sea-ice velocity field,1/s,Divergence of sea-ice velocity field (first shear strain invariant),,sidivvel,divergence_of_sea_ice_velocity,time: point area: mean where sea_ice,,,longitude latitude time1,sidivvel,seaIce,day,area: areacello,SIMIP upgrades,,,primSIday_sidivvel,,,,,,3,Changed: x,1,,,,,,False,CICE:1,lo-la-ti_a:m-seaice_sidivvel,Structure not defined,
1,Sea ice mass flux through straits,kg/s,"net (sum of transport in all directions) sea ice mass transport through the following four passages, positive into the Arctic Ocean 1. Fram Strait = (11.5oW,81.3oN to (10.5oE,79.6oN) 2. Canadian Archipelego = (128.2oW,70.6oN) to (59.3oW,82.1oN) 3. Barents opening = (16.8oE,76.5oN) to (19.2oE,70.2oN) 4. Bering Strait = (171oW,66.2oN) to (166oW,65oN)",Flux across 4 straits,siacrossline,sea_ice_transport_across_line,area: time: mean where sea_ice,,,latitude basin time,siacrossline,seaIce,day,area: areacello,SIMIP upgrades,,,primSIday_siacrossline,,,,,,3,Changed: x,-3,,,,,,x,False,la-b-ti_a:m-seaice_siacrossline,Structure not defined,
1,X-component of sea ice velocity,m s-1,x-velocity of ice on native model grid,,siu,sea_ice_x_velocity,area: time: mean where sea_ice,,,longitude latitude time,siu,seaIce,day,area: areacella,#70comment:4,,,primSIday_siu,,,,,,1,New: x,1,,,,,,x,CICE:1,lo-la-ti_a:m-seaice_siu,Structure not defined,
1,Y-component of sea ice velocity,m s-1,y-velocity of ice on native model grid,,siv,sea_ice_y_velocity,area: time: mean where sea_ice,,,longitude latitude time,siv,seaIce,day,area: areacella,#70comment:4,,,primSIday_siv,,,,,,1,New: x,1,,,,,,x,CICE:1,lo-la-ti_a:m-seaice_siv,Structure not defined,
