Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,Precipitation maximum,kg m-2 s-1,maximum precipitation rate ,the maximum of time step precip rate within each day,prmax,precipitation_flux,time: maximum,None,real,longitude latitude time  ,prmax,atmos,day,area: areacella,PRIM additional,,,primDay_prmax,,,,,,,0,3,False,x,x,x,x,False,UM:1,lo-la-ti__prmax,m01s05i216,
1,Precipitation minimum,kg m-2 s-1,minimum precipitation rate ,the minimum of time step precip rate within each day,prmin,precipitation_flux,time: minimum,None,real,longitude latitude time  ,prmin,atmos,day,area: areacella,PRIM additional,,,primDay_prmin,,,,,,,0,3,False,x,x,x,x,False,UM:1,lo-la-ti__prmin,m01s05i216,
1,Total Soil Moisture Content,kg m-2,the mass per unit area  (summed over all soil layers) of water in all phases.,the mass per unit area  (summed over all soil layers) of water in all phases.,mrso,soil_moisture_content,time: mean area: mean where land,None,real,longitude latitude time,mrso,land,day,area: areacella,PRIM additional,,,primDay_mrso,,,,,,,0,1 (WP10/11),False,x,x,x,x,No,UM:1,lo-la-ti_a:m-land_mrso,m01s08i223,
1,Water Content of Soil Layer,kg m-2,"in each soil layer, the mass of water in all phases, including ice.  Reported as """"missing"""" for grid cells occupied entirely by """"sea""""","in each soil layer, the mass of water in all phases, including ice.  Reported as """"missing"""" for grid cells occupied entirely by """"sea""""",mrlsl,moisture_content_of_soil_layer,time: mean area: mean where land,None,real,longitude latitude sdepth time,mrlsl,land,day,area: areacella,PRIM additional,,,primDay_mrlsl,,,,,,,x,1 (WP10/11),False,x,x,x,x,No,UM:1,lo-la-ti_a:m-land_mrlsl,m01s08i223,
1,Evaporation,kg m-2 s-1,at surface; flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation),at surface; flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation),evspsbl,water_evaporation_flux,time: mean,None,real,longitude latitude time,evspsbl,atmos,day,area: areacella,PRIM additional,,,primDay_evspsbl,,,,,,,x,1,False,x,x,x,x,x,UM:1,lo-la-ti__evspsbl,m01s03i223,
1,Eastward Neutral wind,m s-1,Neutral eastward wind at 10m,,uneutrals,eastward_neurtral_wind,time: mean,None,real,longitude latitude time,uneutrals,atmos,day,,MJR additional,,,primDay_uneutrals,,,,,,,,-999,,False,False,False,False,False,UM:1,lo-la-ti__uneutrals,m01s03i365,
1,Northward Neutral wind,m s-1,Neutral northward wind at 10m,,vneutrals,northward_neutral_wind,time: mean,None,real,longitude latitude time,vneutrals,atmos,day,,MJR additional,,,primDay_vneutrals,,,,,,,,-999,,False,False,False,False,False,UM:1,lo-la-ti__vneutrals,m01s03i366,
1,Surface Temperature,K,"""skin"" temperature (i.e., SST for open ocean)","""""skin"""" temperature (i.e., SST for open ocean)",ts,surface_temperature,time: mean,None,real,longitude latitude time,ts,atmos,day,area: areacella,MJR additional,,,primDay_ts,,,,,,,New: x,1,,x,x,x,x,x,UM:1,lo-la-ti__ts,m01s00i024,
1,Specific Humidity,1.0,,These are standard variables from CMIP5.,hus,specific_humidity,time: mean,,,longitude latitude plev10 time,hus10,atmos,day,area: areacella,DynVar [DYVR_daily_d],,18,8b9817e6-4a5b-11e6-9cd2-ac72891c3257,53f4724d228998d54191c73352532ce3,f7ed55dc-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (10 pressure levels) [XY-P10] [tmean]","DynVar,VolMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: 3,,False,False,False,False,No,False,lo-la-p-ti__hus10,"m01s30i205,m01s30i301",
2,Specific Humidity,1.0,,These are standard variables from CMIP5.,hus,specific_humidity,time: mean,,,longitude latitude plev19 time,hus19,atmos,day,area: areacella,DynVar [DYVR_daily_d],,18,abb97cce-817c-11e6-a4e2-5404a60d96b5,53f4724d228998d54191c73352532ce3,19a32990-81b1-11e6-92de-ac72891c3257,"Temporal mean, Global field (19 pressure levels) [XY-P19] [tmean]","DynVar,VolMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -2,,False,False,False,False,No,False,lo-la-p-ti__hus17,"m01s30i205,m01s30i301",
3,Specific Humidity,1.0,,These are standard variables from CMIP5.,hus,specific_humidity,time: mean,,,longitude latitude plev23 time,hus23,atmos,day,area: areacella,DynVar [DYVR_daily_d],,18,abb9844e-817c-11e6-a4e2-5404a60d96b5,53f4724d228998d54191c73352532ce3,f7ebac6e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (23 pressure levels) [XY-P23] [tmean]","DynVar,VolMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -2,,x,x,x,x,No,UM:1,lo-la-p-ti__hus23,"m01s30i205,m01s30i301",
1,Air Temperature,K,Air Temperature,The difference is to request greater vertical,ta,air_temperature,time: mean,,,longitude latitude plev10 time,ta10,atmos,day,area: areacella,DynVar [DYVR_daily_d],,19,8b981d36-4a5b-11e6-9cd2-ac72891c3257,b9c3eb96337c69c1c4a5aab1317f5563,f7ed55dc-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (10 pressure levels) [XY-P10] [tmean]","DynVar,VolMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: 3,,False,False,False,False,No,False,lo-la-p-ti__ta10,"m01s30i204,m01s30i301",
2,Air Temperature,K,Air Temperature,The difference is to request greater vertical,ta,air_temperature,time: mean,,,longitude latitude plev19 time,ta19,atmos,day,area: areacella,DynVar [DYVR_daily_d],,19,abbab1d4-817c-11e6-a4e2-5404a60d96b5,b9c3eb96337c69c1c4a5aab1317f5563,19a32990-81b1-11e6-92de-ac72891c3257,"Temporal mean, Global field (19 pressure levels) [XY-P19] [tmean]","DynVar,VolMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -2,,False,False,False,False,No,False,lo-la-p-ti__ta17,"m01s30i204,m01s30i301",
3,Air Temperature,K,Air Temperature,The difference is to request greater vertical,ta,air_temperature,time: mean,,,longitude latitude plev23 time,ta23,atmos,day,area: areacella,DynVar [DYVR_daily_d],,19,abbab418-817c-11e6-a4e2-5404a60d96b5,b9c3eb96337c69c1c4a5aab1317f5563,f7ebac6e-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (23 pressure levels) [XY-P23] [tmean]","DynVar,VolMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -2,,x,x,x,x,No,UM:1,lo-la-p-ti__ta23,"m01s30i204,m01s30i301",
1,Eastward Wind,m s-1,,resolution: 17 standard level.,ua,eastward_wind,time: mean,,,longitude latitude plev10 time,ua10,atmos,day,area: areacella,DynVar [DYVR_daily_d],,20,8b9821d2-4a5b-11e6-9cd2-ac72891c3257,21db90c0a12448299f855fdab60930d4,f7ed55dc-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field (10 pressure levels) [XY-P10] [tmean]","DynVar,VolMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: 3,,False,False,False,False,No,False,lo-la-p-ti__ua10,"m01s30i201,m01s30i301",
2,Eastward Wind,m s-1,,resolution: 17 standard level.,ua,eastward_wind,time: mean,,,longitude latitude plev19 time,ua19,atmos,day,area: areacella,DynVar [DYVR_daily_d],,20,abb99bd2-817c-11e6-a4e2-5404a60d96b5,21db90c0a12448299f855fdab60930d4,19a32990-81b1-11e6-92de-ac72891c3257,"Temporal mean, Global field (19 pressure levels) [XY-P19] [tmean]","DynVar,VolMIP","AerChemMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,SolarMIP,VolMIP",,0,NEW: -2,,False,False,False,False,No,False,lo-la-p-ti__ua17,"m01s30i201,m01s30i301",
