Priority,Long name,units,description,comment,Variable Name,CF Standard Name,cell_methods,positive,type,dimensions,CMOR Name,modeling_realm,frequency,cell_measures,prov,provNote,rowIndex,uid,vid,stid,structure title,MIPs (requesting),MIPs (by experiment),ECMWF,AWI,CNRM,CMCC,ECEarth (KNMI),ECEarth (SHMI),ECEarth (BSC),ECEarth (CNR),MPI,METOFFICE,MO_key,STASH,
1,cloud optical depth,1,,,cod,atmosphere_optical_thickness_due_to_cloud,time: mean,,real,longitude latitude time,cod,atmos,mon,area: areacella,PRIMAVERA additional,,,primMon_cod,db3d77eebc6dc2fbcab4e0f894e46037,,,,,,New: false,-3,,False,False,False,False,False,,lo-la-ti__,,
1,cloud liquid water path,kg m-2,,,lwp,atmosphere_cloud_liquid_water_content,time: mean,,real,longitude latitude time,lwp,atmos,mon,area: areacella,RH additional,,,primMon_lwp,e6b31a1928879fcd3c92fe7b592f070e,,,,,,x,2,,x,x,x,x,False,,,,
1,Cloud droplet number concentrations,m-3,,,cdnc,number_concentration_of_cloud_liquid_water_particles_in_air,time: mean,,real,longitude latitude time,cdnc,atmos,mon,area: areacella,RH additional,,,primMon_cdnc,cfe4bddb7dbbfc57c19837e7f99d2dda,,,,,,New: false,-1,,False,False,False,False,False,,,,
1,Convective condensed water path,kg m-2,Convective condensed water path,None,clwvic,atmosphere_convective_cloud_condensed_water_content,time: mean,,real,longitude latitude time,,atmos,mon,area: areacella,YT additional,,,primMon_clwvic,590ef7b8-9e49-11e5-803c-0d0b866b59f3,,,,,,New: false,-999,,False,False,False,False,False,UM:1,None,"m01s00i016,m01s05i262",
1,Hydrometeor Effective Radius of Convective Cloud Liquid Water,m,This is defined as the in-cloud ratio of the third moment over the second moment of the particle size distribution (obtained by considering only the cloudy portion of the grid cell).,,reffclwc,effective_radius_of_convective_cloud_liquid_water_particle,time: mean,,real,longitude latitude alevel time,reffclwc,atmos,mon,area: areacella,RH additional (cloud droplet radii),,,primMon_reffclwc,7aa8f285b17a5bcfce416f19c29d6d72,,,,,,New: false,CHANGED: -1,,False,False,False,False,False,,,,
1,Hydrometeor Effective Radius of Stratiform Cloud Liquid Water,m,This is defined as the in-cloud ratio of the third moment over the second moment of the particle size distribution (obtained by considering only the cloudy portion of the grid cell).,,reffclws,effective_radius_of_stratiform_cloud_liquid_water_particle,time: mean,,real,longitude latitude alevel time,reffclws,atmos,mon,area: areacella,RH additional (cloud droplet radii),,,primMon_reffclws,ed2fff61c68d8a09d5034168e82ae862,,,,,,New: false,CHANGED: -1,,False,False,False,False,False,,,,
2,Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air,s-1,unset,,tnsclw,tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air,time: mean,,real,longitude latitude alevel time,tnsclw,atmos,mon,area: areacella,cfMon ((isd.003)),cfMon_3dstd,50,baba2c18-e5dd-11e5-8482-ac72891c3257,5d8f1d6c7f067f8fae317520184064d4,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]","AerChemMIP,CFMIP,GeoMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP",,False,CHANGED: -999,False,False,False,False,False,False,False,lo-la-al-ti__tnsclw,"m01s30i183,m01s16i260",
2,Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air Due To Cloud Microphysics,s-1,unset,,tnsclwcm,tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_cloud_microphysics,time: mean,,real,longitude latitude alevel time,tnsclwcm,atmos,mon,area: areacella,cfMon ((isd.003)),cfMon_3dstd,50,baba402c-e5dd-11e5-8482-ac72891c3257,04e6188e8f323c49df633d4863051be6,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]","AerChemMIP,CFMIP,GeoMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP",,False,CHANGED: -999,False,False,False,False,False,False,False,lo-la-al-ti__tnsclwcm,m01s04i275,
2,Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air Due To Boundary Layer Mixing,s-1,unset,,tnsclwbl,tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_boundary_layer_mixing,time: mean,,real,longitude latitude alevel time,tnsclwbl,atmos,mon,area: areacella,cfMon ((isd.003)),cfMon_3dstd,50,baba394c-e5dd-11e5-8482-ac72891c3257,a5a3888833d25afc29309927745b8ad8,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]","AerChemMIP,CFMIP,GeoMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP",,False,CHANGED: -999,False,False,False,False,False,False,False,lo-la-al-ti__tnsclwbl,,
2,Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air Due To Bergeron Findeisen Process To Cloud Ice,s-1,unset,,tnsclwbfpcli,tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_bergeron_findeisen_process_to_cloud_ice,time: mean,,real,longitude latitude alevel time,tnsclwbfpcli,atmos,mon,area: areacella,cfMon ((isd.003)),cfMon_3dstd,50,baba371c-e5dd-11e5-8482-ac72891c3257,8026c65b0f11e44ff9dc388169b18117,f7ded7a0-562c-11e6-a2a4-ac72891c3257,"Temporal mean, Global field on model atmosphere levels [XY-A] [tmean]","AerChemMIP,CFMIP,GeoMIP,HighResMIP,PMIP","AerChemMIP,CFMIP,CMIP6,DECK,GeoMIP,HighResMIP,PMIP,ScenarioMIP",,False,CHANGED: -999,False,False,False,False,False,False,False,lo-la-al-ti__tnsclwbfpcli,,
